league,season,game,round,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
ENG-FA Cup,1617,2017-02-18 Burnley-Lincoln City,Fifth round,Sat,2017-02-18,12:30,Burnley,0–1,Lincoln City,19185,Turf Moor,Graham Scott,/en/matches/32a4452f/Burnley-Lincoln-City-February-18-2017-FA-Cup,,32a4452f
ENG-FA Cup,1617,2017-02-18 Huddersfield Town-Manchester City,Fifth round,Sat,2017-02-18,15:00,Huddersfield Town,0–0,Manchester City,24129,The John Smith's Stadium,Andy Taylor,/en/matches/7d00405a/Huddersfield-Town-Manchester-City-February-18-2017-FA-Cup,,7d00405a
ENG-FA Cup,1617,2017-02-18 Middlesbrough-Oxford United,Fifth round,Sat,2017-02-18,15:00,Middlesbrough,3–2,Oxford United,28198,Riverside Stadium,Andre Marriner,/en/matches/222e9e7c/Middlesbrough-Oxford-United-February-18-2017-FA-Cup,,222e9e7c
ENG-FA Cup,1617,2017-02-18 Millwall-Leicester City,Fifth round,Sat,2017-02-18,15:00,Millwall,1–0,Leicester City,18012,The Den,Craig Pawson,/en/matches/1f066327/Millwall-Leicester-City-February-18-2017-FA-Cup,,1f066327
ENG-FA Cup,1617,2017-02-18 Wolves-Chelsea,Fifth round,Sat,2017-02-18,17:30,Wolves,0–2,Chelsea,30193,Molineux Stadium,Jonathan Moss,/en/matches/3c75d017/Wolverhampton-Wanderers-Chelsea-February-18-2017-FA-Cup,,3c75d017
ENG-FA Cup,1617,2017-02-19 Blackburn Rovers-Manchester Utd,Fifth round,Sun,2017-02-19,16:15,Blackburn Rovers,1–2,Manchester Utd,23130,Ewood Park,Martin Atkinson,/en/matches/7af6b793/Blackburn-Rovers-Manchester-United-February-19-2017-FA-Cup,,7af6b793
ENG-FA Cup,1617,2017-02-19 Fulham-Tottenham Hotspur,Fifth round,Sun,2017-02-19,14:00,Fulham,0–3,Tottenham Hotspur,22557,Craven Cottage,Robert Madley,/en/matches/7479075a/Fulham-Tottenham-Hotspur-February-19-2017-FA-Cup,,7479075a
ENG-FA Cup,1617,2017-02-20 Sutton United-Arsenal,Fifth round,Mon,2017-02-20,19:55,Sutton United,0–2,Arsenal,5013,The Borough Sports Ground,Michael Oliver,/en/matches/77671863/Sutton-United-Arsenal-February-20-2017-FA-Cup,,77671863
ENG-FA Cup,1617,2017-03-01 Manchester City-Huddersfield Town,Fifth round,Wed,2017-03-01,19:45,Manchester City,5–1,Huddersfield Town,42425,Etihad Stadium,Paul Tierney,/en/matches/127e3a7f/Manchester-City-Huddersfield-Town-March-1-2017-FA-Cup,,127e3a7f
ENG-FA Cup,1617,2017-03-11 Arsenal-Lincoln City,Quarter-finals,Sat,2017-03-11,17:30,Arsenal,5–0,Lincoln City,59454,Emirates Stadium,Anthony Taylor,/en/matches/f2523e3b/Arsenal-Lincoln-City-March-11-2017-FA-Cup,,f2523e3b
ENG-FA Cup,1617,2017-03-11 Middlesbrough-Manchester City,Quarter-finals,Sat,2017-03-11,12:15,Middlesbrough,0–2,Manchester City,32228,Riverside Stadium,Mike Dean,/en/matches/5ccddecf/Middlesbrough-Manchester-City-March-11-2017-FA-Cup,,5ccddecf
ENG-FA Cup,1617,2017-03-12 Tottenham Hotspur-Millwall,Quarter-finals,Sun,2017-03-12,14:00,Tottenham Hotspur,6–0,Millwall,31137,White Hart Lane,Martin Atkinson,/en/matches/ff2335a6/Tottenham-Hotspur-Millwall-March-12-2017-FA-Cup,,ff2335a6
ENG-FA Cup,1617,2017-03-13 Chelsea-Manchester Utd,Quarter-finals,Mon,2017-03-13,19:45,Chelsea,1–0,Manchester Utd,40801,Stamford Bridge,Michael Oliver,/en/matches/936e1d83/Chelsea-Manchester-United-March-13-2017-FA-Cup,,936e1d83
ENG-FA Cup,1617,2017-04-22 Chelsea-Tottenham Hotspur,Semi-finals,Sat,2017-04-22,17:15,Chelsea,4–2,Tottenham Hotspur,86355,Wembley Stadium,Martin Atkinson,/en/matches/c7af2cb8/Chelsea-Tottenham-Hotspur-April-22-2017-FA-Cup,,c7af2cb8
ENG-FA Cup,1617,2017-04-23 Arsenal-Manchester City,Semi-finals,Sun,2017-04-23,15:00,Arsenal,2–1,Manchester City,85725,Wembley Stadium,Craig Pawson,/en/matches/47711b6e/Arsenal-Manchester-City-April-23-2017-FA-Cup,Required Extra Time,47711b6e
ENG-FA Cup,1617,2017-05-27 Arsenal-Chelsea,Final,Sat,2017-05-27,17:30,Arsenal,2–1,Chelsea,89472,Wembley Stadium,Anthony Taylor,/en/matches/c48bd64e/North-West-London-Derby-Arsenal-Chelsea-May-27-2017-FA-Cup,,c48bd64e
