league,season,game,round,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
ENG-Championship,2223,2022-07-29 Huddersfield Town-Burnley,Championship,1,Fri,2022-07-29,20:00,Huddersfield Town,0–1,Burnley,20206,The John Smith's Stadium,James Linington,/en/matches/46d9048f/Huddersfield-Town-Burnley-July-29-2022-Championship,,46d9048f
ENG-Championship,2223,2022-07-30 Blackburn Rovers-QPR,Championship,1,Sat,2022-07-30,15:00,Blackburn Rovers,1–0,QPR,14315,Ewood Park,Thomas Bramall,/en/matches/a0b364df/Blackburn-Rovers-Queens-Park-Rangers-July-30-2022-Championship,,a0b364df
ENG-Championship,2223,2022-07-30 Blackpool-Reading,Championship,1,Sat,2022-07-30,15:00,Blackpool,1–0,Reading,10831,Bloomfield Road,David Webb,/en/matches/ca95a18c/Blackpool-Reading-July-30-2022-Championship,,ca95a18c
ENG-Championship,2223,2022-07-30 Cardiff City-Norwich City,Championship,1,Sat,2022-07-30,15:00,Cardiff City,1–0,Norwich City,19969,Cardiff City Stadium,Tim Robinson,/en/matches/d116aa74/Cardiff-City-Norwich-City-July-30-2022-Championship,,d116aa74
ENG-Championship,2223,2022-07-30 Hull City-Bristol City,Championship,1,Sat,2022-07-30,15:00,Hull City,2–1,Bristol City,16667,MKM Stadium,Dean Whitestone,/en/matches/03cea9be/Hull-City-Bristol-City-July-30-2022-Championship,,03cea9be
ENG-Championship,2223,2022-07-30 Luton Town-Birmingham City,Championship,1,Sat,2022-07-30,15:00,Luton Town,0–0,Birmingham City,9921,Kenilworth Road Stadium,Graham Scott,/en/matches/a0240431/Luton-Town-Birmingham-City-July-30-2022-Championship,,a0240431
ENG-Championship,2223,2022-07-30 Middlesbrough-West Brom,Championship,1,Sat,2022-07-30,17:30,Middlesbrough,1–1,West Brom,26567,Riverside Stadium,Tony Harrington,/en/matches/f6132023/Middlesbrough-West-Bromwich-Albion-July-30-2022-Championship,,f6132023
ENG-Championship,2223,2022-07-30 Millwall-Stoke City,Championship,1,Sat,2022-07-30,15:00,Millwall,2–0,Stoke City,15341,The Den,Keith Stroud,/en/matches/8cdd19be/Millwall-Stoke-City-July-30-2022-Championship,,8cdd19be
ENG-Championship,2223,2022-07-30 Rotherham United-Swansea City,Championship,1,Sat,2022-07-30,15:00,Rotherham United,1–1,Swansea City,10454,AESSEAL New York Stadium,Matt Donohue,/en/matches/78f52c96/Rotherham-United-Swansea-City-July-30-2022-Championship,,78f52c96
ENG-Championship,2223,2022-07-30 Wigan Athletic-Preston North End,Championship,1,Sat,2022-07-30,15:00,Wigan Athletic,0–0,Preston North End,15429,The DW Stadium,Robert Madley,/en/matches/a4b6453f/Wigan-Athletic-Preston-North-End-July-30-2022-Championship,,a4b6453f
ENG-Championship,2223,2022-07-31 Sunderland-Coventry City,Championship,1,Sun,2022-07-31,12:00,Sunderland,1–1,Coventry City,40851,Stadium of Light,Darren Bond,/en/matches/5a68e6de/Sunderland-Coventry-City-July-31-2022-Championship,,5a68e6de
ENG-Championship,2223,2022-08-01 Watford-Sheffield United,Championship,1,Mon,2022-08-01,20:00,Watford,1–0,Sheffield United,19536,Vicarage Road Stadium,Joshua Smith,/en/matches/70a64f0a/Watford-Sheffield-United-August-1-2022-Championship,,70a64f0a
ENG-Championship,2223,2022-08-05 Birmingham City-Huddersfield Town,Championship,2,Fri,2022-08-05,19:45,Birmingham City,2–1,Huddersfield Town,17065,St Andrew's Trillion Trophy Stadium,Gavin Ward,/en/matches/0b6ec9c5/Birmingham-City-Huddersfield-Town-August-5-2022-Championship,,0b6ec9c5
