league,season,game,round,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
ENG-Championship,1920,2019-08-02 Luton Town-Middlesbrough,Championship,1,Fri,2019-08-02,19:45,Luton Town,3–3,Middlesbrough,10053,Kenilworth Road Stadium,Oliver Langford,/en/matches/206b91fd/Luton-Town-Middlesbrough-August-2-2019-Championship,,206b91fd
ENG-Championship,1920,2019-08-03 Barnsley-Fulham,Championship,1,Sat,2019-08-03,15:00,Barnsley,1–0,Fulham,14823,Oakwell Stadium,Andrew Davies,/en/matches/0ba79039/Barnsley-Fulham-August-3-2019-Championship,,0ba79039
ENG-Championship,1920,2019-08-03 Blackburn Rovers-Charlton Athletic,Championship,1,Sat,2019-08-03,15:00,Blackburn Rovers,1–2,Charlton Athletic,14184,Ewood Park,Andy Woolmer,/en/matches/20782740/Blackburn-Rovers-Charlton-Athletic-August-3-2019-Championship,,20782740
ENG-Championship,1920,2019-08-03 Brentford-Birmingham City,Championship,1,Sat,2019-08-03,15:00,Brentford,0–1,Birmingham City,11332,Griffin Park,Gavin Ward,/en/matches/7e290f8f/Brentford-Birmingham-City-August-3-2019-Championship,,7e290f8f
ENG-Championship,1920,2019-08-03 Millwall-Preston North End,Championship,1,Sat,2019-08-03,15:00,Millwall,1–0,Preston North End,14923,The Den,Steve Martin,/en/matches/d9610170/Millwall-Preston-North-End-August-3-2019-Championship,,d9610170
ENG-Championship,1920,2019-08-03 Nottingham Forest-West Brom,Championship,1,Sat,2019-08-03,17:30,Nottingham Forest,1–2,West Brom,27592,The City Ground,Darren England,/en/matches/69de0483/Nottingham-Forest-West-Bromwich-Albion-August-3-2019-Championship,,69de0483
ENG-Championship,1920,2019-08-03 Reading-Sheffield Weds,Championship,1,Sat,2019-08-03,15:00,Reading,1–3,Sheffield Weds,16319,Madejski Stadium,James Linington,/en/matches/505fb171/Reading-Sheffield-Wednesday-August-3-2019-Championship,,505fb171
ENG-Championship,1920,2019-08-03 Stoke City-QPR,Championship,1,Sat,2019-08-03,15:00,Stoke City,1–2,QPR,24004,Bet365 Stadium,Darren Bond,/en/matches/f0592c02/Stoke-City-Queens-Park-Rangers-August-3-2019-Championship,,f0592c02
ENG-Championship,1920,2019-08-03 Swansea City-Hull City,Championship,1,Sat,2019-08-03,15:00,Swansea City,2–1,Hull City,15741,Liberty Stadium,John Brooks,/en/matches/fd198d12/Swansea-City-Hull-City-August-3-2019-Championship,,fd198d12
ENG-Championship,1920,2019-08-03 Wigan Athletic-Cardiff City,Championship,1,Sat,2019-08-03,15:00,Wigan Athletic,3–2,Cardiff City,12169,The DW Stadium,David Webb,/en/matches/fd6ccf43/Wigan-Athletic-Cardiff-City-August-3-2019-Championship,,fd6ccf43
ENG-Championship,1920,2019-08-04 Bristol City-Leeds United,Championship,1,Sun,2019-08-04,16:30,Bristol City,1–3,Leeds United,23553,Ashton Gate Stadium,Tim Robinson,/en/matches/eccc74e6/Bristol-City-Leeds-United-August-4-2019-Championship,,eccc74e6
ENG-Championship,1920,2019-08-05 Huddersfield Town-Derby County,Championship,1,Mon,2019-08-05,19:45,Huddersfield Town,1–2,Derby County,22596,The John Smith's Stadium,Geoff Eltringham,/en/matches/eb6b8afa/Huddersfield-Town-Derby-County-August-5-2019-Championship,,eb6b8afa
ENG-Championship,1920,2019-08-10 Birmingham City-Bristol City,Championship,2,Sat,2019-08-10,15:00,Birmingham City,1–1,Bristol City,21808,St Andrew's Trillion Trophy Stadium,Oliver Langford,/en/matches/d8a6f51c/Birmingham-City-Bristol-City-August-10-2019-Championship,,d8a6f51c
ENG-Championship,1920,2019-08-10 Cardiff City-Luton Town,Championship,2,Sat,2019-08-10,15:00,Cardiff City,2–1,Luton Town,24724,Cardiff City Stadium,Darren Bond,/en/matches/52d478cd/Cardiff-City-Luton-Town-August-10-2019-Championship,,52d478cd
ENG-Championship,1920,2019-08-10 Charlton Athletic-Stoke City,Championship,2,Sat,2019-08-10,15:00,Charlton Athletic,3–1,Stoke City,17848,The Valley,Simon Hooper,/en/matches/5fdb538f/Charlton-Athletic-Stoke-City-August-10-2019-Championship,,5fdb538f
ENG-Championship,1920,2019-08-10 Derby County-Swansea City,Championship,2,Sat,2019-08-10,15:00,Derby County,0–0,Swansea City,27337,iPro Stadium,Jarred Gillett,/en/matches/f34d76d6/Derby-County-Swansea-City-August-10-2019-Championship,,f34d76d6
ENG-Championship,1920,2019-08-10 Fulham-Blackburn Rovers,Championship,2,Sat,2019-08-10,15:00,Fulham,2–0,Blackburn Rovers,17987,Craven Cottage,Keith Stroud,/en/matches/ebeb0018/Fulham-Blackburn-Rovers-August-10-2019-Championship,,ebeb0018
ENG-Championship,1920,2019-08-10 Hull City-Reading,Championship,2,Sat,2019-08-10,15:00,Hull City,2–1,Reading,10673,Kingston Communications Stadium,Matt Donohue,/en/matches/713dbd23/Hull-City-Reading-August-10-2019-Championship,,713dbd23
