league,season,game,round,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
ENG-Championship,1718,2017-08-04 Nottingham Forest-Millwall,Championship,1,Fri,2017-08-04,19:45,Nottingham Forest,1–0,Millwall,28065,The City Ground,Peter Bankes,/en/matches/ecfcfabf/Nottingham-Forest-Millwall-August-4-2017-Championship,,ecfcfabf
ENG-Championship,1718,2017-08-04 Sunderland-Derby County,Championship,1,Fri,2017-08-04,19:45,Sunderland,1–1,Derby County,29578,Stadium of Light,Oliver Langford,/en/matches/5e429e0c/Sunderland-Derby-County-August-4-2017-Championship,,5e429e0c
ENG-Championship,1718,2017-08-05 Aston Villa-Hull City,Championship,1,Sat,2017-08-05,17:30,Aston Villa,1–1,Hull City,31241,Villa Park,Andy Madley,/en/matches/f34dd009/Aston-Villa-Hull-City-August-5-2017-Championship,,f34dd009
ENG-Championship,1718,2017-08-05 Bristol City-Barnsley,Championship,1,Sat,2017-08-05,15:00,Bristol City,3–1,Barnsley,18742,Ashton Gate Stadium,Andrew Davies,/en/matches/2d812ecf/Bristol-City-Barnsley-August-5-2017-Championship,,2d812ecf
ENG-Championship,1718,2017-08-05 Burton Albion-Cardiff City,Championship,1,Sat,2017-08-05,15:00,Burton Albion,0–1,Cardiff City,5050,Pirelli Stadium,Geoff Eltringham,/en/matches/afcd296a/Burton-Albion-Cardiff-City-August-5-2017-Championship,,afcd296a
ENG-Championship,1718,2017-08-05 Fulham-Norwich City,Championship,1,Sat,2017-08-05,15:00,Fulham,1–1,Norwich City,20134,Craven Cottage,James Linington,/en/matches/55363fcb/Fulham-Norwich-City-August-5-2017-Championship,,55363fcb
ENG-Championship,1718,2017-08-05 Ipswich Town-Birmingham City,Championship,1,Sat,2017-08-05,15:00,Ipswich Town,1–0,Birmingham City,18153,Portman Road Stadium,Tim Robinson,/en/matches/be99842b/Ipswich-Town-Birmingham-City-August-5-2017-Championship,,be99842b
ENG-Championship,1718,2017-08-05 Preston North End-Sheffield Weds,Championship,1,Sat,2017-08-05,15:00,Preston North End,1–0,Sheffield Weds,18267,Deepdale Stadium,Tony Harrington,/en/matches/874da779/Preston-North-End-Sheffield-Wednesday-August-5-2017-Championship,,874da779
ENG-Championship,1718,2017-08-05 QPR-Reading,Championship,1,Sat,2017-08-05,15:00,QPR,2–0,Reading,14460,Loftus Road Stadium,Axel Motiño,/en/matches/3e29f670/Queens-Park-Rangers-Reading-August-5-2017-Championship,,3e29f670
ENG-Championship,1718,2017-08-05 Sheffield United-Brentford,Championship,1,Sat,2017-08-05,15:00,Sheffield United,1–0,Brentford,26746,Bramall Lane,Steve Martin,/en/matches/a54d05f3/Sheffield-United-Brentford-August-5-2017-Championship,,a54d05f3
