league,season,game,round,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
ENG-Championship,1718,2017-08-05 Wolves-Middlesbrough,Championship,1,Sat,2017-08-05,15:00,Wolves,1–0,Middlesbrough,29692,Molineux Stadium,Darren Bond,/en/matches/0216deac/Wolverhampton-Wanderers-Middlesbrough-August-5-2017-Championship,,0216deac
ENG-Championship,1718,2017-08-06 Bolton Wanderers-Leeds United,Championship,1,Sun,2017-08-06,16:30,Bolton Wanderers,2–3,Leeds United,19857,Macron Stadium,Simon Hooper,/en/matches/c7c3e78c/Bolton-Wanderers-Leeds-United-August-6-2017-Championship,,c7c3e78c
ENG-Championship,1718,2017-08-12 Barnsley-Ipswich Town,Championship,2,Sat,2017-08-12,15:00,Barnsley,1–2,Ipswich Town,12009,Oakwell Stadium,Geoff Eltringham,/en/matches/1f99e650/Barnsley-Ipswich-Town-August-12-2017-Championship,,1f99e650
ENG-Championship,1718,2017-08-12 Birmingham City-Bristol City,Championship,2,Sat,2017-08-12,15:00,Birmingham City,2–1,Bristol City,21269,St Andrew's Trillion Trophy Stadium,Darren Bond,/en/matches/31385df0/Birmingham-City-Bristol-City-August-12-2017-Championship,,31385df0
ENG-Championship,1718,2017-08-12 Brentford-Nottingham Forest,Championship,2,Sat,2017-08-12,15:00,Brentford,3–4,Nottingham Forest,10169,Griffin Park,James Linington,/en/matches/38a912a8/Brentford-Nottingham-Forest-August-12-2017-Championship,,38a912a8
ENG-Championship,1718,2017-08-12 Cardiff City-Aston Villa,Championship,2,Sat,2017-08-12,15:00,Cardiff City,3–0,Aston Villa,23899,Cardiff City Stadium,Tim Robinson,/en/matches/7ebe00fb/Cardiff-City-Aston-Villa-August-12-2017-Championship,,7ebe00fb
ENG-Championship,1718,2017-08-12 Derby County-Wolves,Championship,2,Sat,2017-08-12,15:00,Derby County,0–2,Wolves,27757,iPro Stadium,Lee Probert,/en/matches/d30c51d8/Derby-County-Wolverhampton-Wanderers-August-12-2017-Championship,,d30c51d8
ENG-Championship,1718,2017-08-12 Hull City-Burton Albion,Championship,2,Sat,2017-08-12,15:00,Hull City,4–1,Burton Albion,14882,Kingston Communications Stadium,Darren England,/en/matches/46c4fd86/Hull-City-Burton-Albion-August-12-2017-Championship,,46c4fd86
ENG-Championship,1718,2017-08-12 Leeds United-Preston North End,Championship,2,Sat,2017-08-12,15:00,Leeds United,0–0,Preston North End,32880,Elland Road,Axel Motiño,/en/matches/d1834ecb/Leeds-United-Preston-North-End-August-12-2017-Championship,,d1834ecb
ENG-Championship,1718,2017-08-12 Middlesbrough-Sheffield United,Championship,2,Sat,2017-08-12,17:30,Middlesbrough,1–0,Sheffield United,26876,Riverside Stadium,Peter Bankes,/en/matches/f7d82722/Middlesbrough-Sheffield-United-August-12-2017-Championship,,f7d82722
ENG-Championship,1718,2017-08-12 Millwall-Bolton Wanderers,Championship,2,Sat,2017-08-12,15:00,Millwall,1–1,Bolton Wanderers,12238,The Den,Andrew Davies,/en/matches/c0ed944a/Millwall-Bolton-Wanderers-August-12-2017-Championship,,c0ed944a
ENG-Championship,1718,2017-08-12 Reading-Fulham,Championship,2,Sat,2017-08-12,15:00,Reading,1–1,Fulham,17398,Madejski Stadium,Simon Hooper,/en/matches/77bd0f6f/Reading-Fulham-August-12-2017-Championship,,77bd0f6f
ENG-Championship,1718,2017-08-12 Sheffield Weds-QPR,Championship,2,Sat,2017-08-12,15:00,Sheffield Weds,1–1,QPR,25537,Hillsborough Stadium,Chris Kavanagh,/en/matches/722c179a/Sheffield-Wednesday-Queens-Park-Rangers-August-12-2017-Championship,,722c179a
ENG-Championship,1718,2017-08-13 Norwich City-Sunderland,Championship,2,Sun,2017-08-13,13:30,Norwich City,1–3,Sunderland,26343,Carrow Road,Andy Madley,/en/matches/4368c634/Norwich-City-Sunderland-August-13-2017-Championship,,4368c634
ENG-Championship,1718,2017-08-15 Barnsley-Nottingham Forest,Championship,3,Tue,2017-08-15,19:45,Barnsley,2–1,Nottingham Forest,13883,Oakwell Stadium,Tony Harrington,/en/matches/80a2a8cc/Barnsley-Nottingham-Forest-August-15-2017-Championship,,80a2a8cc
ENG-Championship,1718,2017-08-15 Birmingham City-Bolton Wanderers,Championship,3,Tue,2017-08-15,19:45,Birmingham City,0–0,Bolton Wanderers,20215,St Andrew's Trillion Trophy Stadium,Darren England,/en/matches/a74b6a8e/Birmingham-City-Bolton-Wanderers-August-15-2017-Championship,,a74b6a8e
ENG-Championship,1718,2017-08-15 Brentford-Bristol City,Championship,3,Tue,2017-08-15,19:45,Brentford,2–2,Bristol City,9811,Griffin Park,Peter Bankes,/en/matches/42002e40/Brentford-Bristol-City-August-15-2017-Championship,,42002e40
ENG-Championship,1718,2017-08-15 Cardiff City-Sheffield United,Championship,3,Tue,2017-08-15,19:45,Cardiff City,2–0,Sheffield United,17844,Cardiff City Stadium,Lee Mason,/en/matches/61045989/Cardiff-City-Sheffield-United-August-15-2017-Championship,,61045989
ENG-Championship,1718,2017-08-15 Derby County-Preston North End,Championship,3,Tue,2017-08-15,19:45,Derby County,1–0,Preston North End,24371,iPro Stadium,Geoff Eltringham,/en/matches/c0c21351/Derby-County-Preston-North-End-August-15-2017-Championship,,c0c21351
ENG-Championship,1718,2017-08-15 Hull City-Wolves,Championship,3,Tue,2017-08-15,19:45,Hull City,2–3,Wolves,17145,Kingston Communications Stadium,Jeremy Simpson,/en/matches/849d10cf/Hull-City-Wolverhampton-Wanderers-August-15-2017-Championship,,849d10cf
ENG-Championship,1718,2017-08-15 Leeds United-Fulham,Championship,3,Tue,2017-08-15,19:45,Leeds United,0–0,Fulham,28918,Elland Road,Darren Bond,/en/matches/0aa1e37f/Leeds-United-Fulham-August-15-2017-Championship,,0aa1e37f
ENG-Championship,1718,2017-08-15 Middlesbrough-Burton Albion,Championship,3,Tue,2017-08-15,19:45,Middlesbrough,2–0,Burton Albion,24522,Riverside Stadium,Tim Robinson,/en/matches/6fc1e036/Middlesbrough-Burton-Albion-August-15-2017-Championship,,6fc1e036
ENG-Championship,1718,2017-08-15 Millwall-Ipswich Town,Championship,3,Tue,2017-08-15,19:45,Millwall,3–4,Ipswich Town,11919,The Den,James Linington,/en/matches/9fd0f084/Millwall-Ipswich-Town-August-15-2017-Championship,,9fd0f084
ENG-Championship,1718,2017-08-15 Reading-Aston Villa,Championship,3,Tue,2017-08-15,20:00,Reading,2–1,Aston Villa,20144,Madejski Stadium,Kevin Friend,/en/matches/86bf6fef/Reading-Aston-Villa-August-15-2017-Championship,,86bf6fef
ENG-Championship,1718,2017-08-16 Norwich City-QPR,Championship,3,Wed,2017-08-16,19:45,Norwich City,2–0,QPR,26082,Carrow Road,Oliver Langford,/en/matches/f04c82e2/Norwich-City-Queens-Park-Rangers-August-16-2017-Championship,,f04c82e2
ENG-Championship,1718,2017-08-16 Sheffield Weds-Sunderland,Championship,3,Wed,2017-08-16,19:45,Sheffield Weds,1–1,Sunderland,27631,Hillsborough Stadium,Steve Martin,/en/matches/a554d0a6/Sheffield-Wednesday-Sunderland-August-16-2017-Championship,,a554d0a6
ENG-Championship,1718,2017-08-18 Burton Albion-Birmingham City,Championship,4,Fri,2017-08-18,19:45,Burton Albion,2–1,Birmingham City,4948,Pirelli Stadium,Tony Harrington,/en/matches/4b9eb78e/Burton-Albion-Birmingham-City-August-18-2017-Championship,,4b9eb78e
ENG-Championship,1718,2017-08-19 Aston Villa-Norwich City,Championship,4,Sat,2017-08-19,15:00,Aston Villa,4–2,Norwich City,29157,Villa Park,Jeremy Simpson,/en/matches/26f7ec7f/Aston-Villa-Norwich-City-August-19-2017-Championship,,26f7ec7f
ENG-Championship,1718,2017-08-19 Bolton Wanderers-Derby County,Championship,4,Sat,2017-08-19,15:00,Bolton Wanderers,1–2,Derby County,15175,Macron Stadium,Steve Martin,/en/matches/8c4bafe4/Bolton-Wanderers-Derby-County-August-19-2017-Championship,,8c4bafe4
ENG-Championship,1718,2017-08-19 Bristol City-Millwall,Championship,4,Sat,2017-08-19,15:00,Bristol City,0–0,Millwall,18230,Ashton Gate Stadium,Darren England,/en/matches/349c8168/Bristol-City-Millwall-August-19-2017-Championship,,349c8168
ENG-Championship,1718,2017-08-19 Fulham-Sheffield Weds,Championship,4,Sat,2017-08-19,15:00,Fulham,0–1,Sheffield Weds,20165,Craven Cottage,Stuart Attwell,/en/matches/b6fa23b3/Fulham-Sheffield-Wednesday-August-19-2017-Championship,,b6fa23b3
ENG-Championship,1718,2017-08-19 Ipswich Town-Brentford,Championship,4,Sat,2017-08-19,15:00,Ipswich Town,2–0,Brentford,15348,Portman Road Stadium,Oliver Langford,/en/matches/d2c7c222/Ipswich-Town-Brentford-August-19-2017-Championship,,d2c7c222
ENG-Championship,1718,2017-08-19 Nottingham Forest-Middlesbrough,Championship,4,Sat,2017-08-19,15:00,Nottingham Forest,2–1,Middlesbrough,26265,The City Ground,Graham Scott,/en/matches/817f945e/Nottingham-Forest-Middlesbrough-August-19-2017-Championship,,817f945e
ENG-Championship,1718,2017-08-19 Preston North End-Reading,Championship,4,Sat,2017-08-19,15:00,Preston North End,1–0,Reading,11174,Deepdale Stadium,Andy Madley,/en/matches/a7ac718b/Preston-North-End-Reading-August-19-2017-Championship,,a7ac718b
ENG-Championship,1718,2017-08-19 QPR-Hull City,Championship,4,Sat,2017-08-19,15:00,QPR,2–1,Hull City,12609,Loftus Road Stadium,James Linington,/en/matches/b96a9d31/Queens-Park-Rangers-Hull-City-August-19-2017-Championship,,b96a9d31
ENG-Championship,1718,2017-08-19 Sheffield United-Barnsley,Championship,4,Sat,2017-08-19,12:15,Sheffield United,1–0,Barnsley,25482,Bramall Lane,Tim Robinson,/en/matches/4c98a126/Sheffield-United-Barnsley-August-19-2017-Championship,,4c98a126
ENG-Championship,1718,2017-08-19 Sunderland-Leeds United,Championship,4,Sat,2017-08-19,17:30,Sunderland,0–2,Leeds United,31237,Stadium of Light,Andrew Davies,/en/matches/2dfe89b0/Sunderland-Leeds-United-August-19-2017-Championship,,2dfe89b0
ENG-Championship,1718,2017-08-19 Wolves-Cardiff City,Championship,4,Sat,2017-08-19,15:00,Wolves,1–2,Cardiff City,27068,Molineux Stadium,Axel Motiño,/en/matches/14a6000e/Wolverhampton-Wanderers-Cardiff-City-August-19-2017-Championship,,14a6000e
ENG-Championship,1718,2017-08-25 Bristol City-Aston Villa,Championship,5,Fri,2017-08-25,19:45,Bristol City,1–1,Aston Villa,21542,Ashton Gate Stadium,Geoff Eltringham,/en/matches/ac677ff7/Bristol-City-Aston-Villa-August-25-2017-Championship,,ac677ff7
ENG-Championship,1718,2017-08-25 Hull City-Bolton Wanderers,Championship,5,Fri,2017-08-25,19:45,Hull City,4–0,Bolton Wanderers,16207,Kingston Communications Stadium,Oliver Langford,/en/matches/f57547e9/Hull-City-Bolton-Wanderers-August-25-2017-Championship,,f57547e9
ENG-Championship,1718,2017-08-26 Barnsley-Sunderland,Championship,5,Sat,2017-08-26,15:00,Barnsley,3–0,Sunderland,15697,Oakwell Stadium,Chris Kavanagh,/en/matches/b619be9d/Barnsley-Sunderland-August-26-2017-Championship,,b619be9d
ENG-Championship,1718,2017-08-26 Birmingham City-Reading,Championship,5,Sat,2017-08-26,15:00,Birmingham City,0–2,Reading,19993,St Andrew's Trillion Trophy Stadium,Steve Martin,/en/matches/1ea77c8e/Birmingham-City-Reading-August-26-2017-Championship,,1ea77c8e
ENG-Championship,1718,2017-08-26 Brentford-Wolves,Championship,5,Sat,2017-08-26,15:00,Brentford,0–0,Wolves,10351,Griffin Park,Tim Robinson,/en/matches/56bb3760/Brentford-Wolverhampton-Wanderers-August-26-2017-Championship,,56bb3760
ENG-Championship,1718,2017-08-26 Burton Albion-Sheffield Weds,Championship,5,Sat,2017-08-26,15:00,Burton Albion,1–1,Sheffield Weds,5084,Pirelli Stadium,Darren Bond,/en/matches/95b2381e/Burton-Albion-Sheffield-Wednesday-August-26-2017-Championship,,95b2381e
ENG-Championship,1718,2017-08-26 Cardiff City-QPR,Championship,5,Sat,2017-08-26,15:00,Cardiff City,2–1,QPR,18520,Cardiff City Stadium,Simon Hooper,/en/matches/b0731f2c/Cardiff-City-Queens-Park-Rangers-August-26-2017-Championship,,b0731f2c
ENG-Championship,1718,2017-08-26 Ipswich Town-Fulham,Championship,5,Sat,2017-08-26,15:00,Ipswich Town,0–2,Fulham,16844,Portman Road Stadium,Paul Tierney,/en/matches/b4e23eeb/Ipswich-Town-Fulham-August-26-2017-Championship,,b4e23eeb
ENG-Championship,1718,2017-08-26 Middlesbrough-Preston North End,Championship,5,Sat,2017-08-26,15:00,Middlesbrough,0–0,Preston North End,25295,Riverside Stadium,Darren England,/en/matches/11d28536/Middlesbrough-Preston-North-End-August-26-2017-Championship,,11d28536
ENG-Championship,1718,2017-08-26 Millwall-Norwich City,Championship,5,Sat,2017-08-26,15:00,Millwall,4–0,Norwich City,12671,The Den,Tony Harrington,/en/matches/1186d1e4/Millwall-Norwich-City-August-26-2017-Championship,,1186d1e4
ENG-Championship,1718,2017-08-26 Nottingham Forest-Leeds United,Championship,5,Sat,2017-08-26,17:30,Nottingham Forest,0–2,Leeds United,25682,The City Ground,Jeremy Simpson,/en/matches/955e3b91/Nottingham-Forest-Leeds-United-August-26-2017-Championship,,955e3b91
ENG-Championship,1718,2017-08-26 Sheffield United-Derby County,Championship,5,Sat,2017-08-26,15:00,Sheffield United,3–1,Derby County,26202,Bramall Lane,Andy Madley,/en/matches/11e23f5a/Sheffield-United-Derby-County-August-26-2017-Championship,,11e23f5a
ENG-Championship,1718,2017-09-08 Derby County-Hull City,Championship,6,Fri,2017-09-08,19:45,Derby County,5–0,Hull City,25107,iPro Stadium,Darren Bond,/en/matches/9ccf3f72/Derby-County-Hull-City-September-8-2017-Championship,,9ccf3f72
ENG-Championship,1718,2017-09-09 Aston Villa-Brentford,Championship,6,Sat,2017-09-09,15:00,Aston Villa,0–0,Brentford,29799,Villa Park,Axel Motiño,/en/matches/94ce4021/Aston-Villa-Brentford-September-9-2017-Championship,,94ce4021
ENG-Championship,1718,2017-09-09 Bolton Wanderers-Middlesbrough,Championship,6,Sat,2017-09-09,15:00,Bolton Wanderers,0–3,Middlesbrough,17385,Macron Stadium,Geoff Eltringham,/en/matches/5fb34a22/Bolton-Wanderers-Middlesbrough-September-9-2017-Championship,,5fb34a22
ENG-Championship,1718,2017-09-09 Fulham-Cardiff City,Championship,6,Sat,2017-09-09,15:00,Fulham,1–1,Cardiff City,20984,Craven Cottage,Tony Harrington,/en/matches/d3961b25/Fulham-Cardiff-City-September-9-2017-Championship,,d3961b25
ENG-Championship,1718,2017-09-09 Leeds United-Burton Albion,Championship,6,Sat,2017-09-09,15:00,Leeds United,5–0,Burton Albion,33404,Elland Road,Oliver Langford,/en/matches/7d4ff95c/Leeds-United-Burton-Albion-September-9-2017-Championship,,7d4ff95c
ENG-Championship,1718,2017-09-09 Norwich City-Birmingham City,Championship,6,Sat,2017-09-09,15:00,Norwich City,1–0,Birmingham City,26335,Carrow Road,Simon Hooper,/en/matches/d86fd92d/Norwich-City-Birmingham-City-September-9-2017-Championship,,d86fd92d
ENG-Championship,1718,2017-09-09 Preston North End-Barnsley,Championship,6,Sat,2017-09-09,15:00,Preston North End,1–1,Barnsley,12813,Deepdale Stadium,Peter Bankes,/en/matches/d4e3039f/Preston-North-End-Barnsley-September-9-2017-Championship,,d4e3039f
ENG-Championship,1718,2017-09-09 QPR-Ipswich Town,Championship,6,Sat,2017-09-09,15:00,QPR,2–1,Ipswich Town,14060,Loftus Road Stadium,Andrew Davies,/en/matches/29f86e4d/Queens-Park-Rangers-Ipswich-Town-September-9-2017-Championship,,29f86e4d
ENG-Championship,1718,2017-09-09 Reading-Bristol City,Championship,6,Sat,2017-09-09,15:00,Reading,0–1,Bristol City,18650,Madejski Stadium,James Linington,/en/matches/4b6258f7/Reading-Bristol-City-September-9-2017-Championship,,4b6258f7
ENG-Championship,1718,2017-09-09 Sheffield Weds-Nottingham Forest,Championship,6,Sat,2017-09-09,17:30,Sheffield Weds,3–1,Nottingham Forest,25710,Hillsborough Stadium,Andy Madley,/en/matches/086a262b/Sheffield-Wednesday-Nottingham-Forest-September-9-2017-Championship,,086a262b
ENG-Championship,1718,2017-09-09 Sunderland-Sheffield United,Championship,6,Sat,2017-09-09,15:00,Sunderland,1–2,Sheffield United,29579,Stadium of Light,Jeremy Simpson,/en/matches/02cdc106/Sunderland-Sheffield-United-September-9-2017-Championship,,02cdc106
ENG-Championship,1718,2017-09-09 Wolves-Millwall,Championship,6,Sat,2017-09-09,15:00,Wolves,1–0,Millwall,24426,Molineux Stadium,Robert Madley,/en/matches/0d66831a/Wolverhampton-Wanderers-Millwall-September-9-2017-Championship,,0d66831a
ENG-Championship,1718,2017-09-12 Aston Villa-Middlesbrough,Championship,7,Tue,2017-09-12,19:45,Aston Villa,0–0,Middlesbrough,26631,Villa Park,James Linington,/en/matches/38bf29f6/Aston-Villa-Middlesbrough-September-12-2017-Championship,,38bf29f6
ENG-Championship,1718,2017-09-12 Bolton Wanderers-Sheffield United,Championship,7,Tue,2017-09-12,20:00,Bolton Wanderers,0–1,Sheffield United,14346,Macron Stadium,Stuart Attwell,/en/matches/5371036c/Bolton-Wanderers-Sheffield-United-September-12-2017-Championship,,5371036c
ENG-Championship,1718,2017-09-12 Leeds United-Birmingham City,Championship,7,Tue,2017-09-12,19:45,Leeds United,2–0,Birmingham City,31507,Elland Road,Peter Bankes,/en/matches/4687e1db/Leeds-United-Birmingham-City-September-12-2017-Championship,,4687e1db
ENG-Championship,1718,2017-09-12 Norwich City-Burton Albion,Championship,7,Tue,2017-09-12,19:45,Norwich City,0–0,Burton Albion,24841,Carrow Road,Andrew Davies,/en/matches/7dd97da4/Norwich-City-Burton-Albion-September-12-2017-Championship,,7dd97da4
ENG-Championship,1718,2017-09-12 Preston North End-Cardiff City,Championship,7,Tue,2017-09-12,19:45,Preston North End,3–0,Cardiff City,10796,Deepdale Stadium,Oliver Langford,/en/matches/d8b3fd7c/Preston-North-End-Cardiff-City-September-12-2017-Championship,,d8b3fd7c
ENG-Championship,1718,2017-09-12 QPR-Millwall,Championship,7,Tue,2017-09-12,19:45,QPR,2–2,Millwall,12600,Loftus Road Stadium,Roger East,/en/matches/0ef0693f/Queens-Park-Rangers-Millwall-September-12-2017-Championship,,0ef0693f
ENG-Championship,1718,2017-09-12 Sheffield Weds-Brentford,Championship,7,Tue,2017-09-12,19:45,Sheffield Weds,2–1,Brentford,23536,Hillsborough Stadium,Jeremy Simpson,/en/matches/a0ff45f8/Sheffield-Wednesday-Brentford-September-12-2017-Championship,,a0ff45f8
ENG-Championship,1718,2017-09-12 Sunderland-Nottingham Forest,Championship,7,Tue,2017-09-12,19:45,Sunderland,0–1,Nottingham Forest,26061,Stadium of Light,Simon Hooper,/en/matches/6dbf5fde/Sunderland-Nottingham-Forest-September-12-2017-Championship,,6dbf5fde
ENG-Championship,1718,2017-09-12 Wolves-Bristol City,Championship,7,Tue,2017-09-12,19:45,Wolves,3–3,Bristol City,23045,Molineux Stadium,Steve Martin,/en/matches/fe85bbf3/Wolverhampton-Wanderers-Bristol-City-September-12-2017-Championship,,fe85bbf3
ENG-Championship,1718,2017-09-13 Fulham-Hull City,Championship,7,Wed,2017-09-13,19:45,Fulham,2–1,Hull City,15792,Craven Cottage,Tim Robinson,/en/matches/aa75da3a/Fulham-Hull-City-September-13-2017-Championship,,aa75da3a
ENG-Championship,1718,2017-09-16 Barnsley-Aston Villa,Championship,8,Sat,2017-09-16,17:30,Barnsley,0–3,Aston Villa,14633,Oakwell Stadium,Simon Hooper,/en/matches/de672e3f/Barnsley-Aston-Villa-September-16-2017-Championship,,de672e3f
ENG-Championship,1718,2017-09-16 Birmingham City-Preston North End,Championship,8,Sat,2017-09-16,15:00,Birmingham City,1–3,Preston North End,21168,St Andrew's Trillion Trophy Stadium,Keith Stroud,/en/matches/dcc6726f/Birmingham-City-Preston-North-End-September-16-2017-Championship,,dcc6726f
ENG-Championship,1718,2017-09-16 Brentford-Reading,Championship,8,Sat,2017-09-16,15:00,Brentford,1–1,Reading,9739,Griffin Park,Tony Harrington,/en/matches/95cc5a8a/Brentford-Reading-September-16-2017-Championship,,95cc5a8a
ENG-Championship,1718,2017-09-16 Bristol City-Derby County,Championship,8,Sat,2017-09-16,15:00,Bristol City,4–1,Derby County,19473,Ashton Gate Stadium,Martin Atkinson,/en/matches/20e9229d/Bristol-City-Derby-County-September-16-2017-Championship,,20e9229d
ENG-Championship,1718,2017-09-16 Burton Albion-Fulham,Championship,8,Sat,2017-09-16,15:00,Burton Albion,2–1,Fulham,4049,Pirelli Stadium,Steve Martin,/en/matches/f1df7b91/Burton-Albion-Fulham-September-16-2017-Championship,,f1df7b91
ENG-Championship,1718,2017-09-16 Cardiff City-Sheffield Weds,Championship,8,Sat,2017-09-16,15:00,Cardiff City,1–1,Sheffield Weds,19137,Cardiff City Stadium,Lee Probert,/en/matches/7f9461f8/Cardiff-City-Sheffield-Wednesday-September-16-2017-Championship,,7f9461f8
ENG-Championship,1718,2017-09-16 Hull City-Sunderland,Championship,8,Sat,2017-09-16,15:00,Hull City,1–1,Sunderland,16597,Kingston Communications Stadium,Darren England,/en/matches/d0c9d97b/Hull-City-Sunderland-September-16-2017-Championship,,d0c9d97b
ENG-Championship,1718,2017-09-16 Ipswich Town-Bolton Wanderers,Championship,8,Sat,2017-09-16,15:00,Ipswich Town,2–0,Bolton Wanderers,14164,Portman Road Stadium,Andy Madley,/en/matches/2d35798d/Ipswich-Town-Bolton-Wanderers-September-16-2017-Championship,,2d35798d
ENG-Championship,1718,2017-09-16 Middlesbrough-QPR,Championship,8,Sat,2017-09-16,15:00,Middlesbrough,3–2,QPR,24790,Riverside Stadium,Darren Bond,/en/matches/a07ff29b/Middlesbrough-Queens-Park-Rangers-September-16-2017-Championship,,a07ff29b
ENG-Championship,1718,2017-09-16 Millwall-Leeds United,Championship,8,Sat,2017-09-16,15:00,Millwall,1–0,Leeds United,16447,The Den,Tim Robinson,/en/matches/8fef8b8f/Millwall-Leeds-United-September-16-2017-Championship,,8fef8b8f
ENG-Championship,1718,2017-09-16 Nottingham Forest-Wolves,Championship,8,Sat,2017-09-16,15:00,Nottingham Forest,1–2,Wolves,25756,The City Ground,Geoff Eltringham,/en/matches/3042efc8/Nottingham-Forest-Wolverhampton-Wanderers-September-16-2017-Championship,,3042efc8
ENG-Championship,1718,2017-09-16 Sheffield United-Norwich City,Championship,8,Sat,2017-09-16,15:00,Sheffield United,0–1,Norwich City,26218,Bramall Lane,Axel Motiño,/en/matches/ab11a4e7/Sheffield-United-Norwich-City-September-16-2017-Championship,,ab11a4e7
ENG-Championship,1718,2017-09-23 Aston Villa-Nottingham Forest,Championship,9,Sat,2017-09-23,17:30,Aston Villa,2–1,Nottingham Forest,28554,Villa Park,Tim Robinson,/en/matches/14943a50/Aston-Villa-Nottingham-Forest-September-23-2017-Championship,,14943a50
ENG-Championship,1718,2017-09-23 Bolton Wanderers-Brentford,Championship,9,Sat,2017-09-23,15:00,Bolton Wanderers,0–3,Brentford,13897,Macron Stadium,Darren England,/en/matches/d5ec2028/Bolton-Wanderers-Brentford-September-23-2017-Championship,,d5ec2028
ENG-Championship,1718,2017-09-23 Derby County-Birmingham City,Championship,9,Sat,2017-09-23,15:00,Derby County,1–1,Birmingham City,27392,iPro Stadium,Roger East,/en/matches/e2b2b87f/Derby-County-Birmingham-City-September-23-2017-Championship,,e2b2b87f
ENG-Championship,1718,2017-09-23 Fulham-Middlesbrough,Championship,9,Sat,2017-09-23,15:00,Fulham,1–1,Middlesbrough,20718,Craven Cottage,Oliver Langford,/en/matches/489dfd19/Fulham-Middlesbrough-September-23-2017-Championship,,489dfd19
ENG-Championship,1718,2017-09-23 Leeds United-Ipswich Town,Championship,9,Sat,2017-09-23,15:00,Leeds United,3–2,Ipswich Town,34002,Elland Road,Geoff Eltringham,/en/matches/c7e72435/Leeds-United-Ipswich-Town-September-23-2017-Championship,,c7e72435
ENG-Championship,1718,2017-09-23 Norwich City-Bristol City,Championship,9,Sat,2017-09-23,15:00,Norwich City,0–0,Bristol City,25715,Carrow Road,Keith Stroud,/en/matches/45c2b5b3/Norwich-City-Bristol-City-September-23-2017-Championship,,45c2b5b3
ENG-Championship,1718,2017-09-23 Preston North End-Millwall,Championship,9,Sat,2017-09-23,15:00,Preston North End,0–0,Millwall,12363,Deepdale Stadium,Darren Bond,/en/matches/d557a52c/Preston-North-End-Millwall-September-23-2017-Championship,,d557a52c
ENG-Championship,1718,2017-09-23 QPR-Burton Albion,Championship,9,Sat,2017-09-23,15:00,QPR,0–0,Burton Albion,12500,Loftus Road Stadium,Andy Madley,/en/matches/29e6a981/Queens-Park-Rangers-Burton-Albion-September-23-2017-Championship,,29e6a981
