league,season,game,round,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
ENG-Championship,2324,2023-08-04 Sheffield Weds-Southampton,Championship,1,Fri,2023-08-04,20:00,Sheffield Weds,1–2,Southampton,28558,Hillsborough Stadium,Robert Madley,/en/matches/bb5199b8/Sheffield-Wednesday-Southampton-August-4-2023-Championship,,bb5199b8
ENG-Championship,2324,2023-08-05 Blackburn Rovers-West Brom,Championship,1,Sat,2023-08-05,15:00,Blackburn Rovers,2–1,West Brom,16741,Ewood Park,Dean Whitestone,/en/matches/bc26816d/Blackburn-Rovers-West-Bromwich-Albion-August-5-2023-Championship,,bc26816d
ENG-Championship,2324,2023-08-05 Bristol City-Preston North End,Championship,1,Sat,2023-08-05,15:00,Bristol City,1–1,Preston North End,29359,Ashton Gate Stadium,David Webb,/en/matches/10ad359f/Bristol-City-Preston-North-End-August-5-2023-Championship,,10ad359f
ENG-Championship,2324,2023-08-05 Middlesbrough-Millwall,Championship,1,Sat,2023-08-05,15:00,Middlesbrough,0–1,Millwall,29359,Riverside Stadium,Gavin Ward,/en/matches/35af0ac1/Middlesbrough-Millwall-August-5-2023-Championship,,35af0ac1
ENG-Championship,2324,2023-08-05 Norwich City-Hull City,Championship,1,Sat,2023-08-05,15:00,Norwich City,2–1,Hull City,25892,Carrow Road,Keith Stroud,/en/matches/bdd69af0/Norwich-City-Hull-City-August-5-2023-Championship,,bdd69af0
ENG-Championship,2324,2023-08-05 Plymouth Argyle-Huddersfield Town,Championship,1,Sat,2023-08-05,15:00,Plymouth Argyle,3–1,Huddersfield Town,16446,Home Park,Matt Donohue,/en/matches/2d2715a5/Plymouth-Argyle-Huddersfield-Town-August-5-2023-Championship,,2d2715a5
ENG-Championship,2324,2023-08-05 Stoke City-Rotherham United,Championship,1,Sat,2023-08-05,15:00,Stoke City,4–1,Rotherham United,22601,Bet365 Stadium,John Busby,/en/matches/2fbf9d54/Stoke-City-Rotherham-United-August-5-2023-Championship,,2fbf9d54
ENG-Championship,2324,2023-08-05 Swansea City-Birmingham City,Championship,1,Sat,2023-08-05,15:00,Swansea City,1–1,Birmingham City,18051,Swansea.com Stadium,James Linington,/en/matches/ed42701c/Swansea-City-Birmingham-City-August-5-2023-Championship,,ed42701c
ENG-Championship,2324,2023-08-05 Watford-QPR,Championship,1,Sat,2023-08-05,15:00,Watford,4–0,QPR,20087,Vicarage Road Stadium,Thomas Bramall,/en/matches/74bd2fb3/Watford-Queens-Park-Rangers-August-5-2023-Championship,,74bd2fb3
ENG-Championship,2324,2023-08-06 Leeds United-Cardiff City,Championship,1,Sun,2023-08-06,14:30,Leeds United,2–2,Cardiff City,36368,Elland Road,Joshua Smith,/en/matches/29b786f2/Leeds-United-Cardiff-City-August-6-2023-Championship,,29b786f2
ENG-Championship,2324,2023-08-06 Leicester City-Coventry City,Championship,1,Sun,2023-08-06,12:00,Leicester City,2–1,Coventry City,31763,King Power Stadium,Darren Bond,/en/matches/5060c50b/Leicester-City-Coventry-City-August-6-2023-Championship,,5060c50b
ENG-Championship,2324,2023-08-06 Sunderland-Ipswich Town,Championship,1,Sun,2023-08-06,17:00,Sunderland,1–2,Ipswich Town,44407,Stadium of Light,Samuel Barrott,/en/matches/b5145cdb/Sunderland-Ipswich-Town-August-6-2023-Championship,,b5145cdb
ENG-Championship,2324,2023-08-12 Birmingham City-Leeds United,Championship,2,Sat,2023-08-12,15:00,Birmingham City,1–0,Leeds United,20451,St. Andrew's @ Knighthead Park,Tim Robinson,/en/matches/fab60a57/Birmingham-City-Leeds-United-August-12-2023-Championship,,fab60a57
ENG-Championship,2324,2023-08-12 Cardiff City-QPR,Championship,2,Sat,2023-08-12,15:00,Cardiff City,1–2,QPR,21230,Cardiff City Stadium,Oliver Langford,/en/matches/3bc6eea3/Cardiff-City-Queens-Park-Rangers-August-12-2023-Championship,,3bc6eea3
ENG-Championship,2324,2023-08-12 Coventry City-Middlesbrough,Championship,2,Sat,2023-08-12,12:30,Coventry City,3–0,Middlesbrough,24080,Coventry Building Society Arena,Dean Whitestone,/en/matches/31ae260a/Coventry-City-Middlesbrough-August-12-2023-Championship,,31ae260a
ENG-Championship,2324,2023-08-12 Huddersfield Town-Leicester City,Championship,2,Sat,2023-08-12,15:00,Huddersfield Town,0–1,Leicester City,19541,The John Smith's Stadium,David Webb,/en/matches/347f9fb7/Huddersfield-Town-Leicester-City-August-12-2023-Championship,,347f9fb7
