league,season,game,round,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
ENG-Championship,2324,2023-08-12 Hull City-Sheffield Weds,Championship,2,Sat,2023-08-12,15:00,Hull City,4–2,Sheffield Weds,20410,MKM Stadium,Matt Donohue,/en/matches/97231601/Hull-City-Sheffield-Wednesday-August-12-2023-Championship,,97231601
ENG-Championship,2324,2023-08-12 Ipswich Town-Stoke City,Championship,2,Sat,2023-08-12,15:00,Ipswich Town,2–0,Stoke City,29006,Portman Road Stadium,Joshua Smith,/en/matches/5f5a77fe/Ipswich-Town-Stoke-City-August-12-2023-Championship,,5f5a77fe
ENG-Championship,2324,2023-08-12 Millwall-Bristol City,Championship,2,Sat,2023-08-12,15:00,Millwall,0–1,Bristol City,18905,The Den,Keith Stroud,/en/matches/ec971347/Millwall-Bristol-City-August-12-2023-Championship,,ec971347
ENG-Championship,2324,2023-08-12 Preston North End-Sunderland,Championship,2,Sat,2023-08-12,15:00,Preston North End,2–1,Sunderland,19892,Deepdale Stadium,James Linington,/en/matches/7e39b670/Preston-North-End-Sunderland-August-12-2023-Championship,,7e39b670
ENG-Championship,2324,2023-08-12 Rotherham United-Blackburn Rovers,Championship,2,Sat,2023-08-12,15:00,Rotherham United,2–2,Blackburn Rovers,10828,AESSEAL New York Stadium,Robert Madley,/en/matches/822062af/Rotherham-United-Blackburn-Rovers-August-12-2023-Championship,,822062af
ENG-Championship,2324,2023-08-12 Southampton-Norwich City,Championship,2,Sat,2023-08-12,15:00,Southampton,4–4,Norwich City,30113,St. Mary's Stadium,Darren England,/en/matches/972444ed/Southampton-Norwich-City-August-12-2023-Championship,,972444ed
ENG-Championship,2324,2023-08-12 Watford-Plymouth Argyle,Championship,2,Sat,2023-08-12,15:00,Watford,0–0,Plymouth Argyle,19446,Vicarage Road Stadium,Geoff Eltringham,/en/matches/5087a6fb/Watford-Plymouth-Argyle-August-12-2023-Championship,,5087a6fb
ENG-Championship,2324,2023-08-12 West Brom-Swansea City,Championship,2,Sat,2023-08-12,15:00,West Brom,3–2,Swansea City,24051,The Hawthorns,Samuel Barrott,/en/matches/393e530b/West-Bromwich-Albion-Swansea-City-August-12-2023-Championship,,393e530b
ENG-Championship,2324,2023-08-18 Leeds United-West Brom,Championship,3,Fri,2023-08-18,20:00,Leeds United,1–1,West Brom,33890,Elland Road,Matt Donohue,/en/matches/2aab44a3/Leeds-United-West-Bromwich-Albion-August-18-2023-Championship,,2aab44a3
ENG-Championship,2324,2023-08-19 Blackburn Rovers-Hull City,Championship,3,Sat,2023-08-19,15:00,Blackburn Rovers,1–2,Hull City,13943,Ewood Park,Oliver Langford,/en/matches/d62a0b33/Blackburn-Rovers-Hull-City-August-19-2023-Championship,,d62a0b33
ENG-Championship,2324,2023-08-19 Bristol City-Birmingham City,Championship,3,Sat,2023-08-19,15:00,Bristol City,0–2,Birmingham City,22397,Ashton Gate Stadium,Samuel Barrott,/en/matches/3d85862e/Bristol-City-Birmingham-City-August-19-2023-Championship,,3d85862e
ENG-Championship,2324,2023-08-19 Leicester City-Cardiff City,Championship,3,Sat,2023-08-19,15:00,Leicester City,2–1,Cardiff City,31595,King Power Stadium,Graham Scott,/en/matches/178ee4dc/Leicester-City-Cardiff-City-August-19-2023-Championship,,178ee4dc
ENG-Championship,2324,2023-08-19 Middlesbrough-Huddersfield Town,Championship,3,Sat,2023-08-19,15:00,Middlesbrough,1–1,Huddersfield Town,26257,Riverside Stadium,Joshua Smith,/en/matches/9004c7a9/Middlesbrough-Huddersfield-Town-August-19-2023-Championship,,9004c7a9
ENG-Championship,2324,2023-08-19 Plymouth Argyle-Southampton,Championship,3,Sat,2023-08-19,12:30,Plymouth Argyle,1–2,Southampton,16392,Home Park,David Webb,/en/matches/e1d08090/Plymouth-Argyle-Southampton-August-19-2023-Championship,,e1d08090
ENG-Championship,2324,2023-08-19 QPR-Ipswich Town,Championship,3,Sat,2023-08-19,15:00,QPR,0–1,Ipswich Town,16790,MATRADE Loftus Road Stadium,Geoff Eltringham,/en/matches/bf3a156d/Queens-Park-Rangers-Ipswich-Town-August-19-2023-Championship,,bf3a156d
ENG-Championship,2324,2023-08-19 Sheffield Weds-Preston North End,Championship,3,Sat,2023-08-19,15:00,Sheffield Weds,0–1,Preston North End,25138,Hillsborough Stadium,Jeremy Simpson,/en/matches/fb7149cd/Sheffield-Wednesday-Preston-North-End-August-19-2023-Championship,,fb7149cd
ENG-Championship,2324,2023-08-19 Stoke City-Watford,Championship,3,Sat,2023-08-19,15:00,Stoke City,1–0,Watford,21183,Bet365 Stadium,James Bell,/en/matches/2d00ca9d/Stoke-City-Watford-August-19-2023-Championship,,2d00ca9d
ENG-Championship,2324,2023-08-19 Sunderland-Rotherham United,Championship,3,Sat,2023-08-19,15:00,Sunderland,2–1,Rotherham United,40688,Stadium of Light,Gavin Ward,/en/matches/c024bdc6/Sunderland-Rotherham-United-August-19-2023-Championship,,c024bdc6
ENG-Championship,2324,2023-08-19 Swansea City-Coventry City,Championship,3,Sat,2023-08-19,15:00,Swansea City,1–1,Coventry City,16736,Swansea.com Stadium,Robert Madley,/en/matches/ad6427a4/Swansea-City-Coventry-City-August-19-2023-Championship,,ad6427a4
ENG-Championship,2324,2023-08-20 Norwich City-Millwall,Championship,3,Sun,2023-08-20,12:00,Norwich City,3–1,Millwall,26218,Carrow Road,Tony Harrington,/en/matches/236c81c2/Norwich-City-Millwall-August-20-2023-Championship,,236c81c2
ENG-Championship,2324,2023-08-25 Hull City-Bristol City,Championship,4,Fri,2023-08-25,19:30,Hull City,1–1,Bristol City,19491,MKM Stadium,James Linington,/en/matches/15254aac/Hull-City-Bristol-City-August-25-2023-Championship,,15254aac
ENG-Championship,2324,2023-08-26 Birmingham City-Plymouth Argyle,Championship,4,Sat,2023-08-26,15:00,Birmingham City,2–1,Plymouth Argyle,20685,St. Andrew's @ Knighthead Park,John Busby,/en/matches/6d67372d/Birmingham-City-Plymouth-Argyle-August-26-2023-Championship,,6d67372d
ENG-Championship,2324,2023-08-26 Cardiff City-Sheffield Weds,Championship,4,Sat,2023-08-26,15:00,Cardiff City,2–1,Sheffield Weds,21058,Cardiff City Stadium,Darren Bond,/en/matches/624d1bb4/Cardiff-City-Sheffield-Wednesday-August-26-2023-Championship,,624d1bb4
ENG-Championship,2324,2023-08-26 Coventry City-Sunderland,Championship,4,Sat,2023-08-26,15:00,Coventry City,0–0,Sunderland,25714,Coventry Building Society Arena,Keith Stroud,/en/matches/69496f69/Coventry-City-Sunderland-August-26-2023-Championship,,69496f69
ENG-Championship,2324,2023-08-26 Huddersfield Town-Norwich City,Championship,4,Sat,2023-08-26,15:00,Huddersfield Town,0–4,Norwich City,18708,The John Smith's Stadium,Dean Whitestone,/en/matches/18e9093f/Huddersfield-Town-Norwich-City-August-26-2023-Championship,,18e9093f
ENG-Championship,2324,2023-08-26 Ipswich Town-Leeds United,Championship,4,Sat,2023-08-26,15:00,Ipswich Town,3–4,Leeds United,29606,Portman Road Stadium,Robert Madley,/en/matches/12ec9f85/Ipswich-Town-Leeds-United-August-26-2023-Championship,,12ec9f85
ENG-Championship,2324,2023-08-26 Millwall-Stoke City,Championship,4,Sat,2023-08-26,15:00,Millwall,1–0,Stoke City,15254,The Den,David Webb,/en/matches/898710db/Millwall-Stoke-City-August-26-2023-Championship,,898710db
ENG-Championship,2324,2023-08-26 Preston North End-Swansea City,Championship,4,Sat,2023-08-26,15:00,Preston North End,2–1,Swansea City,14464,Deepdale Stadium,Joshua Smith,/en/matches/01919925/Preston-North-End-Swansea-City-August-26-2023-Championship,,01919925
ENG-Championship,2324,2023-08-26 Rotherham United-Leicester City,Championship,4,Sat,2023-08-26,15:00,Rotherham United,1–2,Leicester City,11418,AESSEAL New York Stadium,Simon Hooper,/en/matches/1758a955/Rotherham-United-Leicester-City-August-26-2023-Championship,,1758a955
ENG-Championship,2324,2023-08-26 Southampton-QPR,Championship,4,Sat,2023-08-26,15:00,Southampton,2–1,QPR,30401,St. Mary's Stadium,James Bell,/en/matches/f79f5721/Southampton-Queens-Park-Rangers-August-26-2023-Championship,,f79f5721
ENG-Championship,2324,2023-08-26 West Brom-Middlesbrough,Championship,4,Sat,2023-08-26,15:00,West Brom,4–2,Middlesbrough,23691,The Hawthorns,Jeremy Simpson,/en/matches/b35a63b3/West-Bromwich-Albion-Middlesbrough-August-26-2023-Championship,,b35a63b3
ENG-Championship,2324,2023-08-27 Watford-Blackburn Rovers,Championship,4,Sun,2023-08-27,12:00,Watford,0–1,Blackburn Rovers,17810,Vicarage Road Stadium,Gavin Ward,/en/matches/1fa0fa38/Watford-Blackburn-Rovers-August-27-2023-Championship,,1fa0fa38
ENG-Championship,2324,2023-09-02 Birmingham City-Millwall,Championship,5,Sat,2023-09-02,12:30,Birmingham City,1–1,Millwall,18710,St. Andrew's @ Knighthead Park,Joshua Smith,/en/matches/56b9395b/Birmingham-City-Millwall-September-2-2023-Championship,,56b9395b
ENG-Championship,2324,2023-09-02 Coventry City-Watford,Championship,5,Sat,2023-09-02,15:00,Coventry City,3–3,Watford,24539,Coventry Building Society Arena,David Webb,/en/matches/20c1e029/Coventry-City-Watford-September-2-2023-Championship,,20c1e029
ENG-Championship,2324,2023-09-02 Ipswich Town-Cardiff City,Championship,5,Sat,2023-09-02,15:00,Ipswich Town,3–2,Cardiff City,28011,Portman Road Stadium,Gavin Ward,/en/matches/848e95d4/Ipswich-Town-Cardiff-City-September-2-2023-Championship,,848e95d4
ENG-Championship,2324,2023-09-02 Leeds United-Sheffield Weds,Championship,5,Sat,2023-09-02,15:00,Leeds United,0–0,Sheffield Weds,36484,Elland Road,Dean Whitestone,/en/matches/ea6a2463/Leeds-United-Sheffield-Wednesday-September-2-2023-Championship,,ea6a2463
ENG-Championship,2324,2023-09-02 Leicester City-Hull City,Championship,5,Sat,2023-09-02,15:00,Leicester City,0–1,Hull City,31318,King Power Stadium,John Busby,/en/matches/9ee393c4/Leicester-City-Hull-City-September-2-2023-Championship,,9ee393c4
ENG-Championship,2324,2023-09-02 Middlesbrough-QPR,Championship,5,Sat,2023-09-02,15:00,Middlesbrough,0–2,QPR,25671,Riverside Stadium,Thomas Bramall,/en/matches/c2a1e90c/Middlesbrough-Queens-Park-Rangers-September-2-2023-Championship,,c2a1e90c
ENG-Championship,2324,2023-09-02 Plymouth Argyle-Blackburn Rovers,Championship,5,Sat,2023-09-02,15:00,Plymouth Argyle,3–0,Blackburn Rovers,16067,Home Park,Stephen Martin,/en/matches/a33f7013/Plymouth-Argyle-Blackburn-Rovers-September-2-2023-Championship,,a33f7013
ENG-Championship,2324,2023-09-02 Rotherham United-Norwich City,Championship,5,Sat,2023-09-02,15:00,Rotherham United,2–1,Norwich City,11016,AESSEAL New York Stadium,Samuel Barrott,/en/matches/52c47413/Rotherham-United-Norwich-City-September-2-2023-Championship,,52c47413
ENG-Championship,2324,2023-09-02 Stoke City-Preston North End,Championship,5,Sat,2023-09-02,15:00,Stoke City,0–2,Preston North End,22957,Bet365 Stadium,Matt Donohue,/en/matches/afbc717d/Stoke-City-Preston-North-End-September-2-2023-Championship,,afbc717d
ENG-Championship,2324,2023-09-02 Sunderland-Southampton,Championship,5,Sat,2023-09-02,12:30,Sunderland,5–0,Southampton,41459,Stadium of Light,David Coote,/en/matches/db573e76/Sunderland-Southampton-September-2-2023-Championship,,db573e76
ENG-Championship,2324,2023-09-02 Swansea City-Bristol City,Championship,5,Sat,2023-09-02,12:30,Swansea City,1–2,Bristol City,16676,Swansea.com Stadium,Oliver Langford,/en/matches/81a61e2a/Swansea-City-Bristol-City-September-2-2023-Championship,,81a61e2a
ENG-Championship,2324,2023-09-02 West Brom-Huddersfield Town,Championship,5,Sat,2023-09-02,15:00,West Brom,1–2,Huddersfield Town,23094,The Hawthorns,James Linington,/en/matches/ae60e34c/West-Bromwich-Albion-Huddersfield-Town-September-2-2023-Championship,,ae60e34c
ENG-Championship,2324,2023-09-15 Hull City-Coventry City,Championship,6,Fri,2023-09-15,19:45,Hull City,1–1,Coventry City,21888,MKM Stadium,Tony Harrington,/en/matches/3fd0cd8f/Hull-City-Coventry-City-September-15-2023-Championship,,3fd0cd8f
ENG-Championship,2324,2023-09-15 Southampton-Leicester City,Championship,6,Fri,2023-09-15,20:00,Southampton,1–4,Leicester City,28877,St. Mary's Stadium,Robert Madley,/en/matches/27f1c2ff/Southampton-Leicester-City-September-15-2023-Championship,,27f1c2ff
ENG-Championship,2324,2023-09-16 Blackburn Rovers-Middlesbrough,Championship,6,Sat,2023-09-16,15:00,Blackburn Rovers,2–1,Middlesbrough,16348,Ewood Park,James Bell,/en/matches/285d9c71/Blackburn-Rovers-Middlesbrough-September-16-2023-Championship,,285d9c71
ENG-Championship,2324,2023-09-16 Bristol City-West Brom,Championship,6,Sat,2023-09-16,15:00,Bristol City,0–0,West Brom,21836,Ashton Gate Stadium,Anthony Backhouse,/en/matches/5b21f7b2/Bristol-City-West-Bromwich-Albion-September-16-2023-Championship,,5b21f7b2
ENG-Championship,2324,2023-09-16 Cardiff City-Swansea City,Championship,6,Sat,2023-09-16,19:45,Cardiff City,2–0,Swansea City,28648,Cardiff City Stadium,Samuel Barrott,/en/matches/14f4307a/Cardiff-City-Swansea-City-September-16-2023-Championship,,14f4307a
ENG-Championship,2324,2023-09-16 Huddersfield Town-Rotherham United,Championship,6,Sat,2023-09-16,15:00,Huddersfield Town,2–0,Rotherham United,19050,The John Smith's Stadium,Jeremy Simpson,/en/matches/259dcfab/Huddersfield-Town-Rotherham-United-September-16-2023-Championship,,259dcfab
ENG-Championship,2324,2023-09-16 Norwich City-Stoke City,Championship,6,Sat,2023-09-16,15:00,Norwich City,1–0,Stoke City,25816,Carrow Road,Oliver Langford,/en/matches/c86ffca7/Norwich-City-Stoke-City-September-16-2023-Championship,,c86ffca7
ENG-Championship,2324,2023-09-16 Preston North End-Plymouth Argyle,Championship,6,Sat,2023-09-16,15:00,Preston North End,2–1,Plymouth Argyle,17542,Deepdale Stadium,Gavin Ward,/en/matches/40b06dcc/Preston-North-End-Plymouth-Argyle-September-16-2023-Championship,,40b06dcc
ENG-Championship,2324,2023-09-16 QPR-Sunderland,Championship,6,Sat,2023-09-16,15:00,QPR,1–3,Sunderland,16383,MATRADE Loftus Road Stadium,Dean Whitestone,/en/matches/d27727d0/Queens-Park-Rangers-Sunderland-September-16-2023-Championship,,d27727d0
ENG-Championship,2324,2023-09-16 Sheffield Weds-Ipswich Town,Championship,6,Sat,2023-09-16,15:00,Sheffield Weds,0–1,Ipswich Town,25938,Hillsborough Stadium,James Linington,/en/matches/6f1dae42/Sheffield-Wednesday-Ipswich-Town-September-16-2023-Championship,,6f1dae42
ENG-Championship,2324,2023-09-16 Watford-Birmingham City,Championship,6,Sat,2023-09-16,15:00,Watford,2–0,Birmingham City,18932,Vicarage Road Stadium,Keith Stroud,/en/matches/85e5d98d/Watford-Birmingham-City-September-16-2023-Championship,,85e5d98d
ENG-Championship,2324,2023-09-17 Millwall-Leeds United,Championship,6,Sun,2023-09-17,12:00,Millwall,0–3,Leeds United,17909,The Den,Chris Kavanagh,/en/matches/6c042870/Millwall-Leeds-United-September-17-2023-Championship,,6c042870
ENG-Championship,2324,2023-09-19 Bristol City-Plymouth Argyle,Championship,7,Tue,2023-09-19,19:45,Bristol City,4–1,Plymouth Argyle,23017,Ashton Gate Stadium,Matt Donohue,/en/matches/13c5139e/Bristol-City-Plymouth-Argyle-September-19-2023-Championship,,13c5139e
ENG-Championship,2324,2023-09-19 Cardiff City-Coventry City,Championship,7,Tue,2023-09-19,19:45,Cardiff City,3–2,Coventry City,18297,Cardiff City Stadium,Samuel Allison,/en/matches/a9143339/Cardiff-City-Coventry-City-September-19-2023-Championship,,a9143339
ENG-Championship,2324,2023-09-19 Preston North End-Birmingham City,Championship,7,Tue,2023-09-19,19:45,Preston North End,2–1,Birmingham City,15838,Deepdale Stadium,Dean Whitestone,/en/matches/cc93b1c1/Preston-North-End-Birmingham-City-September-19-2023-Championship,,cc93b1c1
ENG-Championship,2324,2023-09-19 QPR-Swansea City,Championship,7,Tue,2023-09-19,19:45,QPR,1–1,Swansea City,13367,MATRADE Loftus Road Stadium,Andrew Kitchen,/en/matches/cb9ae6e4/Queens-Park-Rangers-Swansea-City-September-19-2023-Championship,,cb9ae6e4
ENG-Championship,2324,2023-09-19 Sheffield Weds-Middlesbrough,Championship,7,Tue,2023-09-19,20:00,Sheffield Weds,1–1,Middlesbrough,22975,Hillsborough Stadium,David Webb,/en/matches/3ef9dbe0/Sheffield-Wednesday-Middlesbrough-September-19-2023-Championship,,3ef9dbe0
ENG-Championship,2324,2023-09-19 Southampton-Ipswich Town,Championship,7,Tue,2023-09-19,19:45,Southampton,0–1,Ipswich Town,27265,St. Mary's Stadium,Joshua Smith,/en/matches/1adabf99/Southampton-Ipswich-Town-September-19-2023-Championship,,1adabf99
ENG-Championship,2324,2023-09-20 Blackburn Rovers-Sunderland,Championship,7,Wed,2023-09-20,19:45,Blackburn Rovers,1–3,Sunderland,15621,Ewood Park,John Busby,/en/matches/988ead07/Blackburn-Rovers-Sunderland-September-20-2023-Championship,,988ead07
ENG-Championship,2324,2023-09-20 Huddersfield Town-Stoke City,Championship,7,Wed,2023-09-20,19:45,Huddersfield Town,2–2,Stoke City,18791,The John Smith's Stadium,Darren Bond,/en/matches/8722894c/Huddersfield-Town-Stoke-City-September-20-2023-Championship,,8722894c
ENG-Championship,2324,2023-09-20 Hull City-Leeds United,Championship,7,Wed,2023-09-20,19:45,Hull City,0–0,Leeds United,24221,MKM Stadium,Stephen Martin,/en/matches/51bbfe9e/Hull-City-Leeds-United-September-20-2023-Championship,,51bbfe9e
ENG-Championship,2324,2023-09-20 Millwall-Rotherham United,Championship,7,Wed,2023-09-20,19:45,Millwall,3–0,Rotherham United,12563,The Den,Geoff Eltringham,/en/matches/ab5f4cfa/Millwall-Rotherham-United-September-20-2023-Championship,,ab5f4cfa
ENG-Championship,2324,2023-09-20 Norwich City-Leicester City,Championship,7,Wed,2023-09-20,20:00,Norwich City,0–2,Leicester City,26277,Carrow Road,Graham Scott,/en/matches/a160b13d/Norwich-City-Leicester-City-September-20-2023-Championship,,a160b13d
ENG-Championship,2324,2023-09-20 Watford-West Brom,Championship,7,Wed,2023-09-20,19:45,Watford,2–2,West Brom,16742,Vicarage Road Stadium,Leigh Doughty,/en/matches/533069c6/Watford-West-Bromwich-Albion-September-20-2023-Championship,,533069c6
ENG-Championship,2324,2023-09-22 Birmingham City-QPR,Championship,8,Fri,2023-09-22,20:00,Birmingham City,0–0,QPR,19803,St. Andrew's @ Knighthead Park,Matt Donohue,/en/matches/f0e48792/Birmingham-City-Queens-Park-Rangers-September-22-2023-Championship,,f0e48792
ENG-Championship,2324,2023-09-23 Ipswich Town-Blackburn Rovers,Championship,8,Sat,2023-09-23,15:00,Ipswich Town,4–3,Blackburn Rovers,28792,Portman Road Stadium,Keith Stroud,/en/matches/df08d8fb/Ipswich-Town-Blackburn-Rovers-September-23-2023-Championship,,df08d8fb
ENG-Championship,2324,2023-09-23 Leeds United-Watford,Championship,8,Sat,2023-09-23,15:00,Leeds United,3–0,Watford,36236,Elland Road,Jeremy Simpson,/en/matches/c5f4ab83/Leeds-United-Watford-September-23-2023-Championship,,c5f4ab83
ENG-Championship,2324,2023-09-23 Leicester City-Bristol City,Championship,8,Sat,2023-09-23,15:00,Leicester City,1–0,Bristol City,31674,King Power Stadium,James Bell,/en/matches/aab0e1bd/Leicester-City-Bristol-City-September-23-2023-Championship,,aab0e1bd
ENG-Championship,2324,2023-09-23 Middlesbrough-Southampton,Championship,8,Sat,2023-09-23,15:00,Middlesbrough,2–1,Southampton,26141,Riverside Stadium,Tim Robinson,/en/matches/2c511d59/Middlesbrough-Southampton-September-23-2023-Championship,,2c511d59
ENG-Championship,2324,2023-09-23 Plymouth Argyle-Norwich City,Championship,8,Sat,2023-09-23,15:00,Plymouth Argyle,6–2,Norwich City,16469,Home Park,Andrew Kitchen,/en/matches/15c748f7/Plymouth-Argyle-Norwich-City-September-23-2023-Championship,,15c748f7
ENG-Championship,2324,2023-09-23 Rotherham United-Preston North End,Championship,8,Sat,2023-09-23,15:00,Rotherham United,1–1,Preston North End,11434,AESSEAL New York Stadium,Samuel Allison,/en/matches/c1249408/Rotherham-United-Preston-North-End-September-23-2023-Championship,,c1249408
ENG-Championship,2324,2023-09-23 Swansea City-Sheffield Weds,Championship,8,Sat,2023-09-23,15:00,Swansea City,3–0,Sheffield Weds,16865,Swansea.com Stadium,Anthony Backhouse,/en/matches/bc9c9eb5/Swansea-City-Sheffield-Wednesday-September-23-2023-Championship,,bc9c9eb5
ENG-Championship,2324,2023-09-23 West Brom-Millwall,Championship,8,Sat,2023-09-23,15:00,West Brom,0–0,Millwall,22325,The Hawthorns,Tom Nield,/en/matches/3232cc73/West-Bromwich-Albion-Millwall-September-23-2023-Championship,,3232cc73
ENG-Championship,2324,2023-09-24 Stoke City-Hull City,Championship,8,Sun,2023-09-24,12:00,Stoke City,1–3,Hull City,21142,Bet365 Stadium,Thomas Bramall,/en/matches/a96e5d44/Stoke-City-Hull-City-September-24-2023-Championship,,a96e5d44
ENG-Championship,2324,2023-09-24 Sunderland-Cardiff City,Championship,8,Sun,2023-09-24,15:00,Sunderland,0–1,Cardiff City,41581,Stadium of Light,Steve Martin,/en/matches/303ad16d/Sunderland-Cardiff-City-September-24-2023-Championship,,303ad16d
ENG-Championship,2324,2023-09-25 Coventry City-Huddersfield Town,Championship,8,Mon,2023-09-25,20:00,Coventry City,1–1,Huddersfield Town,22257,Coventry Building Society Arena,Oliver Langford,/en/matches/b11b8220/Coventry-City-Huddersfield-Town-September-25-2023-Championship,,b11b8220
ENG-Championship,2324,2023-09-29 Sheffield Weds-Sunderland,Championship,9,Fri,2023-09-29,20:00,Sheffield Weds,0–3,Sunderland,25987,Hillsborough Stadium,Samuel Barrott,/en/matches/8ecf97e4/Sheffield-Wednesday-Sunderland-September-29-2023-Championship,,8ecf97e4
ENG-Championship,2324,2023-09-30 Bristol City-Stoke City,Championship,9,Sat,2023-09-30,15:00,Bristol City,2–3,Stoke City,21117,Ashton Gate Stadium,Jeremy Simpson,/en/matches/cb120086/Bristol-City-Stoke-City-September-30-2023-Championship,,cb120086
ENG-Championship,2324,2023-09-30 Cardiff City-Rotherham United,Championship,9,Sat,2023-09-30,15:00,Cardiff City,2–0,Rotherham United,20136,Cardiff City Stadium,Leigh Doughty,/en/matches/7ad91782/Cardiff-City-Rotherham-United-September-30-2023-Championship,,7ad91782
ENG-Championship,2324,2023-09-30 Huddersfield Town-Ipswich Town,Championship,9,Sat,2023-09-30,15:00,Huddersfield Town,1–1,Ipswich Town,20000,The John Smith's Stadium,Geoff Eltringham,/en/matches/2d621c93/Huddersfield-Town-Ipswich-Town-September-30-2023-Championship,,2d621c93
ENG-Championship,2324,2023-09-30 Hull City-Plymouth Argyle,Championship,9,Sat,2023-09-30,15:00,Hull City,1–1,Plymouth Argyle,20312,MKM Stadium,David Webb,/en/matches/d764a10c/Hull-City-Plymouth-Argyle-September-30-2023-Championship,,d764a10c
