league,season,game,round,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
ENG-Championship,2021,2020-09-11 Watford-Middlesbrough,Championship,1,Fri,2020-09-11,19:45,Watford,1–0,Middlesbrough,,Vicarage Road Stadium,Keith Stroud,/en/matches/d6924442/Watford-Middlesbrough-September-11-2020-Championship,,d6924442
ENG-Championship,2021,2020-09-12 Barnsley-Luton Town,Championship,1,Sat,2020-09-12,15:00,Barnsley,0–1,Luton Town,,Oakwell Stadium,Jarred Gillett,/en/matches/07fe27fe/Barnsley-Luton-Town-September-12-2020-Championship,,07fe27fe
ENG-Championship,2021,2020-09-12 Birmingham City-Brentford,Championship,1,Sat,2020-09-12,12:30,Birmingham City,1–0,Brentford,,St Andrew's Trillion Trophy Stadium,Tony Harrington,/en/matches/4552ca1e/Birmingham-City-Brentford-September-12-2020-Championship,,4552ca1e
ENG-Championship,2021,2020-09-12 Bournemouth-Blackburn Rovers,Championship,1,Sat,2020-09-12,15:00,Bournemouth,3–2,Blackburn Rovers,,Vitality Stadium,Gavin Ward,/en/matches/eda1548c/Bournemouth-Blackburn-Rovers-September-12-2020-Championship,,eda1548c
ENG-Championship,2021,2020-09-12 Bristol City-Coventry City,Championship,1,Sat,2020-09-12,15:00,Bristol City,2–1,Coventry City,,Ashton Gate Stadium,John Brooks,/en/matches/44fd0754/Bristol-City-Coventry-City-September-12-2020-Championship,,44fd0754
ENG-Championship,2021,2020-09-12 Cardiff City-Sheffield Weds,Championship,1,Sat,2020-09-12,15:00,Cardiff City,0–2,Sheffield Weds,,Cardiff City Stadium,Andy Madley,/en/matches/1a631de1/Cardiff-City-Sheffield-Wednesday-September-12-2020-Championship,,1a631de1
ENG-Championship,2021,2020-09-12 Derby County-Reading,Championship,1,Sat,2020-09-12,15:00,Derby County,0–2,Reading,,iPro Stadium,Darren Bond,/en/matches/10366a70/Derby-County-Reading-September-12-2020-Championship,,10366a70
ENG-Championship,2021,2020-09-12 Huddersfield Town-Norwich City,Championship,1,Sat,2020-09-12,15:00,Huddersfield Town,0–1,Norwich City,,The John Smith's Stadium,Geoff Eltringham,/en/matches/67f845ae/Huddersfield-Town-Norwich-City-September-12-2020-Championship,,67f845ae
ENG-Championship,2021,2020-09-12 Millwall-Stoke City,Championship,1,Sat,2020-09-12,15:00,Millwall,0–0,Stoke City,,The Den,Jeremy Simpson,/en/matches/f543ca5c/Millwall-Stoke-City-September-12-2020-Championship,,f543ca5c
ENG-Championship,2021,2020-09-12 Preston North End-Swansea City,Championship,1,Sat,2020-09-12,15:00,Preston North End,0–1,Swansea City,,Deepdale Stadium,Robert Jones,/en/matches/d098a3bd/Preston-North-End-Swansea-City-September-12-2020-Championship,,d098a3bd
ENG-Championship,2021,2020-09-12 QPR-Nottingham Forest,Championship,1,Sat,2020-09-12,15:00,QPR,2–0,Nottingham Forest,,Kiyan Prince Foundation Stadium,Tim Robinson,/en/matches/e1321748/Queens-Park-Rangers-Nottingham-Forest-September-12-2020-Championship,,e1321748
ENG-Championship,2021,2020-09-12 Wycombe Wanderers-Rotherham United,Championship,1,Sat,2020-09-12,12:30,Wycombe Wanderers,0–1,Rotherham United,,Adams Park,James Linington,/en/matches/bea3d062/Wycombe-Wanderers-Rotherham-United-September-12-2020-Championship,,bea3d062
ENG-Championship,2021,2020-09-18 Coventry City-QPR,Championship,2,Fri,2020-09-18,19:45,Coventry City,3–2,QPR,,St Andrew's Trillion Trophy Stadium,Steve Martin,/en/matches/b6475c68/Coventry-City-Queens-Park-Rangers-September-18-2020-Championship,,b6475c68
ENG-Championship,2021,2020-09-19 Blackburn Rovers-Wycombe Wanderers,Championship,2,Sat,2020-09-19,15:00,Blackburn Rovers,5–0,Wycombe Wanderers,,Ewood Park,Peter Bankes,/en/matches/73572b14/Blackburn-Rovers-Wycombe-Wanderers-September-19-2020-Championship,,73572b14
ENG-Championship,2021,2020-09-19 Brentford-Huddersfield Town,Championship,2,Sat,2020-09-19,15:00,Brentford,3–0,Huddersfield Town,,Brentford Community Stadium,Craig Pawson,/en/matches/0cda1522/Brentford-Huddersfield-Town-September-19-2020-Championship,,0cda1522
ENG-Championship,2021,2020-09-19 Luton Town-Derby County,Championship,2,Sat,2020-09-19,15:00,Luton Town,2–1,Derby County,,Kenilworth Road Stadium,Dean Whitestone,/en/matches/060fc5fb/Luton-Town-Derby-County-September-19-2020-Championship,,060fc5fb
ENG-Championship,2021,2020-09-19 Middlesbrough-Bournemouth,Championship,2,Sat,2020-09-19,15:00,Middlesbrough,1–1,Bournemouth,1000,Riverside Stadium,Matt Donohue,/en/matches/c02be602/Middlesbrough-Bournemouth-September-19-2020-Championship,,c02be602
ENG-Championship,2021,2020-09-19 Norwich City-Preston North End,Championship,2,Sat,2020-09-19,15:00,Norwich City,2–2,Preston North End,,Carrow Road,John Brooks,/en/matches/57b45aaa/Norwich-City-Preston-North-End-September-19-2020-Championship,,57b45aaa
ENG-Championship,2021,2020-09-19 Nottingham Forest-Cardiff City,Championship,2,Sat,2020-09-19,12:30,Nottingham Forest,0–2,Cardiff City,,The City Ground,James Linington,/en/matches/c91c66f0/Nottingham-Forest-Cardiff-City-September-19-2020-Championship,,c91c66f0
ENG-Championship,2021,2020-09-19 Reading-Barnsley,Championship,2,Sat,2020-09-19,15:00,Reading,2–0,Barnsley,,Madejski Stadium,Tim Robinson,/en/matches/5a4eb92e/Reading-Barnsley-September-19-2020-Championship,,5a4eb92e
ENG-Championship,2021,2020-09-19 Rotherham United-Millwall,Championship,2,Sat,2020-09-19,15:00,Rotherham United,0–1,Millwall,,New York Stadium,Leigh Doughty,/en/matches/3e7fe98f/Rotherham-United-Millwall-September-19-2020-Championship,,3e7fe98f
ENG-Championship,2021,2020-09-19 Sheffield Weds-Watford,Championship,2,Sat,2020-09-19,15:00,Sheffield Weds,0–0,Watford,,Hillsborough Stadium,Jarred Gillett,/en/matches/442b2817/Sheffield-Wednesday-Watford-September-19-2020-Championship,,442b2817
ENG-Championship,2021,2020-09-19 Swansea City-Birmingham City,Championship,2,Sat,2020-09-19,15:00,Swansea City,0–0,Birmingham City,,Liberty Stadium,Gavin Ward,/en/matches/710a1bb7/Swansea-City-Birmingham-City-September-19-2020-Championship,,710a1bb7
ENG-Championship,2021,2020-09-20 Stoke City-Bristol City,Championship,2,Sun,2020-09-20,14:00,Stoke City,0–2,Bristol City,,Bet365 Stadium,Oliver Langford,/en/matches/154acfb5/Stoke-City-Bristol-City-September-20-2020-Championship,,154acfb5
ENG-Championship,2021,2020-09-25 Huddersfield Town-Nottingham Forest,Championship,3,Fri,2020-09-25,19:45,Huddersfield Town,1–0,Nottingham Forest,,The John Smith's Stadium,Oliver Langford,/en/matches/1c579aef/Huddersfield-Town-Nottingham-Forest-September-25-2020-Championship,,1c579aef
ENG-Championship,2021,2020-09-26 Barnsley-Coventry City,Championship,3,Sat,2020-09-26,15:00,Barnsley,0–0,Coventry City,,Oakwell Stadium,Joshua Smith,/en/matches/3aab9d2e/Barnsley-Coventry-City-September-26-2020-Championship,,3aab9d2e
ENG-Championship,2021,2020-09-26 Birmingham City-Rotherham United,Championship,3,Sat,2020-09-26,15:00,Birmingham City,1–1,Rotherham United,,St Andrew's Trillion Trophy Stadium,Andy Madley,/en/matches/b0a60291/Birmingham-City-Rotherham-United-September-26-2020-Championship,,b0a60291
ENG-Championship,2021,2020-09-26 Cardiff City-Reading,Championship,3,Sat,2020-09-26,15:00,Cardiff City,1–2,Reading,,Cardiff City Stadium,David Webb,/en/matches/e1838ba2/Cardiff-City-Reading-September-26-2020-Championship,,e1838ba2
ENG-Championship,2021,2020-09-26 Derby County-Blackburn Rovers,Championship,3,Sat,2020-09-26,15:00,Derby County,0–4,Blackburn Rovers,,iPro Stadium,Andy Woolmer,/en/matches/c3b502f4/Derby-County-Blackburn-Rovers-September-26-2020-Championship,,c3b502f4
ENG-Championship,2021,2020-09-26 Millwall-Brentford,Championship,3,Sat,2020-09-26,15:00,Millwall,1–1,Brentford,,The Den,David Coote,/en/matches/f8fd46a9/Millwall-Brentford-September-26-2020-Championship,,f8fd46a9
ENG-Championship,2021,2020-09-26 Preston North End-Stoke City,Championship,3,Sat,2020-09-26,15:00,Preston North End,0–1,Stoke City,,Deepdale Stadium,Matt Donohue,/en/matches/5c03826c/Preston-North-End-Stoke-City-September-26-2020-Championship,,5c03826c
ENG-Championship,2021,2020-09-26 QPR-Middlesbrough,Championship,3,Sat,2020-09-26,15:00,QPR,1–1,Middlesbrough,,Kiyan Prince Foundation Stadium,Dean Whitestone,/en/matches/e3dfba8d/Queens-Park-Rangers-Middlesbrough-September-26-2020-Championship,,e3dfba8d
ENG-Championship,2021,2020-09-26 Watford-Luton Town,Championship,3,Sat,2020-09-26,12:30,Watford,1–0,Luton Town,,Vicarage Road Stadium,John Brooks,/en/matches/82a1a3c0/Watford-Luton-Town-September-26-2020-Championship,,82a1a3c0
ENG-Championship,2021,2020-09-26 Wycombe Wanderers-Swansea City,Championship,3,Sat,2020-09-26,12:30,Wycombe Wanderers,0–2,Swansea City,,Adams Park,Geoff Eltringham,/en/matches/e934a1db/Wycombe-Wanderers-Swansea-City-September-26-2020-Championship,,e934a1db
ENG-Championship,2021,2020-09-27 Bournemouth-Norwich City,Championship,3,Sun,2020-09-27,16:00,Bournemouth,1–0,Norwich City,,Vitality Stadium,James Linington,/en/matches/28c4d56a/Bournemouth-Norwich-City-September-27-2020-Championship,,28c4d56a
ENG-Championship,2021,2020-09-27 Bristol City-Sheffield Weds,Championship,3,Sun,2020-09-27,13:00,Bristol City,2–0,Sheffield Weds,,Ashton Gate Stadium,Tony Harrington,/en/matches/56d60375/Bristol-City-Sheffield-Wednesday-September-27-2020-Championship,,56d60375
ENG-Championship,2021,2020-10-02 Coventry City-Bournemouth,Championship,4,Fri,2020-10-02,19:45,Coventry City,1–3,Bournemouth,,St Andrew's Trillion Trophy Stadium,Jarred Gillett,/en/matches/e5922a88/Coventry-City-Bournemouth-October-2-2020-Championship,,e5922a88
ENG-Championship,2021,2020-10-03 Blackburn Rovers-Cardiff City,Championship,4,Sat,2020-10-03,15:00,Blackburn Rovers,0–0,Cardiff City,,Ewood Park,Darren Bond,/en/matches/29a6f2a9/Blackburn-Rovers-Cardiff-City-October-3-2020-Championship,,29a6f2a9
ENG-Championship,2021,2020-10-03 Luton Town-Wycombe Wanderers,Championship,4,Sat,2020-10-03,15:00,Luton Town,2–0,Wycombe Wanderers,,Kenilworth Road Stadium,Graham Scott,/en/matches/6d86b9fc/Luton-Town-Wycombe-Wanderers-October-3-2020-Championship,,6d86b9fc
ENG-Championship,2021,2020-10-03 Middlesbrough-Barnsley,Championship,4,Sat,2020-10-03,15:00,Middlesbrough,2–1,Barnsley,,Riverside Stadium,Oliver Langford,/en/matches/e13716ab/Middlesbrough-Barnsley-October-3-2020-Championship,,e13716ab
ENG-Championship,2021,2020-10-03 Norwich City-Derby County,Championship,4,Sat,2020-10-03,12:30,Norwich City,0–1,Derby County,,Carrow Road,Stuart Attwell,/en/matches/f0cddafb/Norwich-City-Derby-County-October-3-2020-Championship,,f0cddafb
ENG-Championship,2021,2020-10-03 Nottingham Forest-Bristol City,Championship,4,Sat,2020-10-03,15:00,Nottingham Forest,1–2,Bristol City,,The City Ground,Keith Stroud,/en/matches/52a89fe3/Nottingham-Forest-Bristol-City-October-3-2020-Championship,,52a89fe3
ENG-Championship,2021,2020-10-03 Reading-Watford,Championship,4,Sat,2020-10-03,15:00,Reading,1–0,Watford,,Madejski Stadium,Gavin Ward,/en/matches/9223adca/Reading-Watford-October-3-2020-Championship,,9223adca
ENG-Championship,2021,2020-10-03 Rotherham United-Huddersfield Town,Championship,4,Sat,2020-10-03,15:00,Rotherham United,1–1,Huddersfield Town,,New York Stadium,Andy Woolmer,/en/matches/1491f9bd/Rotherham-United-Huddersfield-Town-October-3-2020-Championship,,1491f9bd
ENG-Championship,2021,2020-10-03 Sheffield Weds-QPR,Championship,4,Sat,2020-10-03,15:00,Sheffield Weds,1–1,QPR,,Hillsborough Stadium,Michael Salisbury,/en/matches/92dbd78b/Sheffield-Wednesday-Queens-Park-Rangers-October-3-2020-Championship,,92dbd78b
