league,season,game,round,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
ENG-Championship,2021,2020-10-03 Swansea City-Millwall,Championship,4,Sat,2020-10-03,15:00,Swansea City,2–1,Millwall,,Liberty Stadium,Steve Martin,/en/matches/33927e7a/Swansea-City-Millwall-October-3-2020-Championship,,33927e7a
ENG-Championship,2021,2020-10-04 Brentford-Preston North End,Championship,4,Sun,2020-10-04,15:00 (14:00),Brentford,2–4,Preston North End,,Brentford Community Stadium,Dean Whitestone,/en/matches/788c7b90/Brentford-Preston-North-End-October-4-2020-Championship,,788c7b90
ENG-Championship,2021,2020-10-04 Stoke City-Birmingham City,Championship,4,Sun,2020-10-04,15:00,Stoke City,1–1,Birmingham City,,Bet365 Stadium,John Brooks,/en/matches/1031d215/Stoke-City-Birmingham-City-October-4-2020-Championship,,1031d215
ENG-Championship,2021,2020-10-16 Derby County-Watford,Championship,5,Fri,2020-10-16,19:45,Derby County,0–1,Watford,,iPro Stadium,Geoff Eltringham,/en/matches/42a7e70a/Derby-County-Watford-October-16-2020-Championship,,42a7e70a
ENG-Championship,2021,2020-10-17 Barnsley-Bristol City,Championship,5,Sat,2020-10-17,15:00,Barnsley,2–2,Bristol City,,Oakwell Stadium,Leigh Doughty,/en/matches/e2d810fd/Barnsley-Bristol-City-October-17-2020-Championship,,e2d810fd
ENG-Championship,2021,2020-10-17 Birmingham City-Sheffield Weds,Championship,5,Sat,2020-10-17,15:00,Birmingham City,0–1,Sheffield Weds,,St Andrew's Trillion Trophy Stadium,Graham Scott,/en/matches/79b3e493/Birmingham-City-Sheffield-Wednesday-October-17-2020-Championship,,79b3e493
ENG-Championship,2021,2020-10-17 Blackburn Rovers-Nottingham Forest,Championship,5,Sat,2020-10-17,15:00,Blackburn Rovers,0–1,Nottingham Forest,,Ewood Park,Jarred Gillett,/en/matches/f43858d7/Blackburn-Rovers-Nottingham-Forest-October-17-2020-Championship,,f43858d7
ENG-Championship,2021,2020-10-17 Bournemouth-QPR,Championship,5,Sat,2020-10-17,15:00,Bournemouth,0–0,QPR,,Vitality Stadium,John Brooks,/en/matches/131e5140/Bournemouth-Queens-Park-Rangers-October-17-2020-Championship,,131e5140
ENG-Championship,2021,2020-10-17 Brentford-Coventry City,Championship,5,Sat,2020-10-17,15:00,Brentford,2–0,Coventry City,,Brentford Community Stadium,Andy Woolmer,/en/matches/55487e5f/Brentford-Coventry-City-October-17-2020-Championship,,55487e5f
ENG-Championship,2021,2020-10-17 Luton Town-Stoke City,Championship,5,Sat,2020-10-17,15:00,Luton Town,0–2,Stoke City,,Kenilworth Road Stadium,Jeremy Simpson,/en/matches/0a9b8c43/Luton-Town-Stoke-City-October-17-2020-Championship,,0a9b8c43
ENG-Championship,2021,2020-10-17 Middlesbrough-Reading,Championship,5,Sat,2020-10-17,15:00,Middlesbrough,0–0,Reading,,Riverside Stadium,Darren Bond,/en/matches/0469125c/Middlesbrough-Reading-October-17-2020-Championship,,0469125c
ENG-Championship,2021,2020-10-17 Rotherham United-Norwich City,Championship,5,Sat,2020-10-17,15:00,Rotherham United,1–2,Norwich City,,New York Stadium,David Webb,/en/matches/e4657f4a/Rotherham-United-Norwich-City-October-17-2020-Championship,,e4657f4a
ENG-Championship,2021,2020-10-17 Swansea City-Huddersfield Town,Championship,5,Sat,2020-10-17,15:00,Swansea City,1–2,Huddersfield Town,,Liberty Stadium,Tony Harrington,/en/matches/7f837081/Swansea-City-Huddersfield-Town-October-17-2020-Championship,,7f837081
ENG-Championship,2021,2020-10-17 Wycombe Wanderers-Millwall,Championship,5,Sat,2020-10-17,15:00,Wycombe Wanderers,1–2,Millwall,,Adams Park,Andy Madley,/en/matches/c8aeae8a/Wycombe-Wanderers-Millwall-October-17-2020-Championship,,c8aeae8a
ENG-Championship,2021,2020-10-18 Preston North End-Cardiff City,Championship,5,Sun,2020-10-18,12:00,Preston North End,0–1,Cardiff City,,Deepdale Stadium,Keith Stroud,/en/matches/c69f9207/Preston-North-End-Cardiff-City-October-18-2020-Championship,,c69f9207
ENG-Championship,2021,2020-10-20 Bristol City-Middlesbrough,Championship,6,Tue,2020-10-20,19:45,Bristol City,0–1,Middlesbrough,,Ashton Gate Stadium,Tim Robinson,/en/matches/2098acb8/Bristol-City-Middlesbrough-October-20-2020-Championship,,2098acb8
ENG-Championship,2021,2020-10-20 Coventry City-Swansea City,Championship,6,Tue,2020-10-20,19:45,Coventry City,1–1,Swansea City,,St Andrew's Trillion Trophy Stadium,Keith Stroud,/en/matches/56917a87/Coventry-City-Swansea-City-October-20-2020-Championship,,56917a87
ENG-Championship,2021,2020-10-20 Huddersfield Town-Derby County,Championship,6,Tue,2020-10-20,19:45,Huddersfield Town,1–0,Derby County,,The John Smith's Stadium,David Webb,/en/matches/0945acbd/Huddersfield-Town-Derby-County-October-20-2020-Championship,,0945acbd
ENG-Championship,2021,2020-10-20 Millwall-Luton Town,Championship,6,Tue,2020-10-20,19:45,Millwall,2–0,Luton Town,,The Den,Tony Harrington,/en/matches/8e42dd10/Millwall-Luton-Town-October-20-2020-Championship,,8e42dd10
ENG-Championship,2021,2020-10-20 Norwich City-Birmingham City,Championship,6,Tue,2020-10-20,19:45,Norwich City,1–0,Birmingham City,,Carrow Road,Oliver Langford,/en/matches/592b0412/Norwich-City-Birmingham-City-October-20-2020-Championship,,592b0412
ENG-Championship,2021,2020-10-20 Nottingham Forest-Rotherham United,Championship,6,Tue,2020-10-20,19:45,Nottingham Forest,1–1,Rotherham United,,The City Ground,Steve Martin,/en/matches/cebdcb26/Nottingham-Forest-Rotherham-United-October-20-2020-Championship,,cebdcb26
ENG-Championship,2021,2020-10-20 Reading-Wycombe Wanderers,Championship,6,Tue,2020-10-20,20:00,Reading,1–0,Wycombe Wanderers,,Madejski Stadium,Andrew Davies,/en/matches/a92c3c91/Reading-Wycombe-Wanderers-October-20-2020-Championship,,a92c3c91
ENG-Championship,2021,2020-10-21 Cardiff City-Bournemouth,Championship,6,Wed,2020-10-21,19:45,Cardiff City,1–1,Bournemouth,,Cardiff City Stadium,Simon Hooper,/en/matches/67ee6837/Cardiff-City-Bournemouth-October-21-2020-Championship,,67ee6837
ENG-Championship,2021,2020-10-21 QPR-Preston North End,Championship,6,Wed,2020-10-21,19:45,QPR,0–2,Preston North End,,Kiyan Prince Foundation Stadium,Kevin Friend,/en/matches/a72f6581/Queens-Park-Rangers-Preston-North-End-October-21-2020-Championship,,a72f6581
ENG-Championship,2021,2020-10-21 Sheffield Weds-Brentford,Championship,6,Wed,2020-10-21,19:45,Sheffield Weds,1–2,Brentford,,Hillsborough Stadium,Darren Bond,/en/matches/ef830863/Sheffield-Wednesday-Brentford-October-21-2020-Championship,,ef830863
ENG-Championship,2021,2020-10-21 Stoke City-Barnsley,Championship,6,Wed,2020-10-21,19:45,Stoke City,2–2,Barnsley,,Bet365 Stadium,Michael Salisbury,/en/matches/750b8c80/Stoke-City-Barnsley-October-21-2020-Championship,,750b8c80
ENG-Championship,2021,2020-10-21 Watford-Blackburn Rovers,Championship,6,Wed,2020-10-21,19:45,Watford,3–1,Blackburn Rovers,,Vicarage Road Stadium,Andy Woolmer,/en/matches/5c1a2e6a/Watford-Blackburn-Rovers-October-21-2020-Championship,,5c1a2e6a
ENG-Championship,2021,2020-10-23 Nottingham Forest-Derby County,Championship,7,Fri,2020-10-23,19:45,Nottingham Forest,1–1,Derby County,,The City Ground,Tony Harrington,/en/matches/654b613d/Nottingham-Forest-Derby-County-October-23-2020-Championship,,654b613d
ENG-Championship,2021,2020-10-24 Bristol City-Swansea City,Championship,7,Sat,2020-10-24,15:00,Bristol City,1–1,Swansea City,,Ashton Gate Stadium,Oliver Langford,/en/matches/434a6822/Bristol-City-Swansea-City-October-24-2020-Championship,,434a6822
ENG-Championship,2021,2020-10-24 Cardiff City-Middlesbrough,Championship,7,Sat,2020-10-24,15:00,Cardiff City,1–1,Middlesbrough,,Cardiff City Stadium,John Brooks,/en/matches/daafba44/Cardiff-City-Middlesbrough-October-24-2020-Championship,,daafba44
ENG-Championship,2021,2020-10-24 Coventry City-Blackburn Rovers,Championship,7,Sat,2020-10-24,15:00,Coventry City,0–4,Blackburn Rovers,,St Andrew's Trillion Trophy Stadium,Darren England,/en/matches/a4d66d63/Coventry-City-Blackburn-Rovers-October-24-2020-Championship,,a4d66d63
ENG-Championship,2021,2020-10-24 Huddersfield Town-Preston North End,Championship,7,Sat,2020-10-24,15:00,Huddersfield Town,1–2,Preston North End,,The John Smith's Stadium,Joshua Smith,/en/matches/5cb5d882/Huddersfield-Town-Preston-North-End-October-24-2020-Championship,,5cb5d882
ENG-Championship,2021,2020-10-24 Millwall-Barnsley,Championship,7,Sat,2020-10-24,15:00,Millwall,1–1,Barnsley,,The Den,Andrew Davies,/en/matches/fd5ae5a3/Millwall-Barnsley-October-24-2020-Championship,,fd5ae5a3
ENG-Championship,2021,2020-10-24 Norwich City-Wycombe Wanderers,Championship,7,Sat,2020-10-24,15:00,Norwich City,2–1,Wycombe Wanderers,,Carrow Road,Gavin Ward,/en/matches/359cd543/Norwich-City-Wycombe-Wanderers-October-24-2020-Championship,,359cd543
ENG-Championship,2021,2020-10-24 QPR-Birmingham City,Championship,7,Sat,2020-10-24,15:00,QPR,0–0,Birmingham City,,Kiyan Prince Foundation Stadium,Simon Hooper,/en/matches/77678410/Queens-Park-Rangers-Birmingham-City-October-24-2020-Championship,,77678410
ENG-Championship,2021,2020-10-24 Reading-Rotherham United,Championship,7,Sat,2020-10-24,15:00,Reading,3–0,Rotherham United,,Madejski Stadium,Matt Donohue,/en/matches/92421b5f/Reading-Rotherham-United-October-24-2020-Championship,,92421b5f
ENG-Championship,2021,2020-10-24 Sheffield Weds-Luton Town,Championship,7,Sat,2020-10-24,15:00,Sheffield Weds,0–1,Luton Town,,Hillsborough Stadium,Geoff Eltringham,/en/matches/2ea4e2a7/Sheffield-Wednesday-Luton-Town-October-24-2020-Championship,,2ea4e2a7
ENG-Championship,2021,2020-10-24 Stoke City-Brentford,Championship,7,Sat,2020-10-24,15:00,Stoke City,3–2,Brentford,,Bet365 Stadium,Keith Stroud,/en/matches/16f00259/Stoke-City-Brentford-October-24-2020-Championship,,16f00259
ENG-Championship,2021,2020-10-24 Watford-Bournemouth,Championship,7,Sat,2020-10-24,12:30,Watford,1–1,Bournemouth,,Vicarage Road Stadium,Tim Robinson,/en/matches/5b9b2f7d/Watford-Bournemouth-October-24-2020-Championship,,5b9b2f7d
ENG-Championship,2021,2020-10-27 Barnsley-QPR,Championship,8,Tue,2020-10-27,19:00,Barnsley,3–0,QPR,,Oakwell Stadium,Andrew Davies,/en/matches/44c2e71a/Barnsley-Queens-Park-Rangers-October-27-2020-Championship,,44c2e71a
ENG-Championship,2021,2020-10-27 Blackburn Rovers-Reading,Championship,8,Tue,2020-10-27,19:45,Blackburn Rovers,2–4,Reading,,Ewood Park,David Coote,/en/matches/5a0470f7/Blackburn-Rovers-Reading-October-27-2020-Championship,,5a0470f7
ENG-Championship,2021,2020-10-27 Brentford-Norwich City,Championship,8,Tue,2020-10-27,19:45,Brentford,1–1,Norwich City,,Brentford Community Stadium,Jeremy Simpson,/en/matches/b00d0948/Brentford-Norwich-City-October-27-2020-Championship,,b00d0948
ENG-Championship,2021,2020-10-27 Middlesbrough-Coventry City,Championship,8,Tue,2020-10-27,19:45,Middlesbrough,2–0,Coventry City,,Riverside Stadium,David Webb,/en/matches/02a4d8ce/Middlesbrough-Coventry-City-October-27-2020-Championship,,02a4d8ce
ENG-Championship,2021,2020-10-27 Swansea City-Stoke City,Championship,8,Tue,2020-10-27,19:45,Swansea City,2–0,Stoke City,,Liberty Stadium,Andre Marriner,/en/matches/7ba618b5/Swansea-City-Stoke-City-October-27-2020-Championship,,7ba618b5
ENG-Championship,2021,2020-10-27 Wycombe Wanderers-Watford,Championship,8,Tue,2020-10-27,19:45,Wycombe Wanderers,1–1,Watford,,Adams Park,John Brooks,/en/matches/3997e4bb/Wycombe-Wanderers-Watford-October-27-2020-Championship,,3997e4bb
ENG-Championship,2021,2020-10-28 Birmingham City-Huddersfield Town,Championship,8,Wed,2020-10-28,19:45,Birmingham City,2–1,Huddersfield Town,,St Andrew's Trillion Trophy Stadium,Leigh Doughty,/en/matches/b1c93a72/Birmingham-City-Huddersfield-Town-October-28-2020-Championship,,b1c93a72
ENG-Championship,2021,2020-10-28 Bournemouth-Bristol City,Championship,8,Wed,2020-10-28,19:45,Bournemouth,1–0,Bristol City,,Vitality Stadium,Steve Martin,/en/matches/209a8405/Bournemouth-Bristol-City-October-28-2020-Championship,,209a8405
ENG-Championship,2021,2020-10-28 Derby County-Cardiff City,Championship,8,Wed,2020-10-28,19:45,Derby County,1–1,Cardiff City,,iPro Stadium,Oliver Langford,/en/matches/d8883eb2/Derby-County-Cardiff-City-October-28-2020-Championship,,d8883eb2
ENG-Championship,2021,2020-10-28 Luton Town-Nottingham Forest,Championship,8,Wed,2020-10-28,19:45,Luton Town,1–1,Nottingham Forest,,Kenilworth Road Stadium,Tim Robinson,/en/matches/f11652d1/Luton-Town-Nottingham-Forest-October-28-2020-Championship,,f11652d1
ENG-Championship,2021,2020-10-28 Preston North End-Millwall,Championship,8,Wed,2020-10-28,19:00,Preston North End,0–2,Millwall,,Deepdale Stadium,Darren Bond,/en/matches/a365c48f/Preston-North-End-Millwall-October-28-2020-Championship,,a365c48f
ENG-Championship,2021,2020-10-28 Rotherham United-Sheffield Weds,Championship,8,Wed,2020-10-28,19:45,Rotherham United,3–0,Sheffield Weds,,New York Stadium,Jarred Gillett,/en/matches/9a973d04/Rotherham-United-Sheffield-Wednesday-October-28-2020-Championship,,9a973d04
ENG-Championship,2021,2020-10-30 Coventry City-Reading,Championship,9,Fri,2020-10-30,19:45,Coventry City,3–2,Reading,,St Andrew's Trillion Trophy Stadium,David Webb,/en/matches/98e8a6b6/Coventry-City-Reading-October-30-2020-Championship,,98e8a6b6
ENG-Championship,2021,2020-10-31 Barnsley-Watford,Championship,9,Sat,2020-10-31,15:00,Barnsley,1–0,Watford,,Oakwell Stadium,Matt Donohue,/en/matches/8fc23218/Barnsley-Watford-October-31-2020-Championship,,8fc23218
ENG-Championship,2021,2020-10-31 Bournemouth-Derby County,Championship,9,Sat,2020-10-31,15:00,Bournemouth,1–1,Derby County,,Vitality Stadium,Robert Jones,/en/matches/2beb59e3/Bournemouth-Derby-County-October-31-2020-Championship,,2beb59e3
ENG-Championship,2021,2020-10-31 Bristol City-Norwich City,Championship,9,Sat,2020-10-31,12:30,Bristol City,1–3,Norwich City,,Ashton Gate Stadium,Jarred Gillett,/en/matches/4aeaa6a1/Bristol-City-Norwich-City-October-31-2020-Championship,,4aeaa6a1
ENG-Championship,2021,2020-10-31 Luton Town-Brentford,Championship,9,Sat,2020-10-31,15:00,Luton Town,0–3,Brentford,,Kenilworth Road Stadium,Michael Salisbury,/en/matches/2415b1d6/Luton-Town-Brentford-October-31-2020-Championship,,2415b1d6
ENG-Championship,2021,2020-10-31 Middlesbrough-Nottingham Forest,Championship,9,Sat,2020-10-31,15:00,Middlesbrough,1–0,Nottingham Forest,,Riverside Stadium,Lee Mason,/en/matches/d833bc74/Middlesbrough-Nottingham-Forest-October-31-2020-Championship,,d833bc74
ENG-Championship,2021,2020-10-31 Millwall-Huddersfield Town,Championship,9,Sat,2020-10-31,15:00,Millwall,0–3,Huddersfield Town,,The Den,Gavin Ward,/en/matches/f668dc0c/Millwall-Huddersfield-Town-October-31-2020-Championship,,f668dc0c
